APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Management Contact Phone,Longitude,Latitude,Property on Map
6052024012,11/05/2019,Single Family,323 E 93RD ST,LOS ANGELES,CA,90003,9,"GASBARRO INVESTMENTS, INC.",DAVID GASBARRO,818-223-0190,NULL,NULL,,NULL,-118.26869,33.95211,POINT (-118.26869 33.95211)
5547023021,11/20/2019,Multi-Family,1408 N LAS PALMAS AVE,HOLLYWOOD,CA,90028,13,OSM LOAN ACQUISITIONS IX LP,JUSTIN KHORVASH,310-473-1023,NULL,NULL,,NULL,-118.33645,34.09646,POINT (-118.33645 34.09646)
6003025017,06/25/2019,Single Family,1213 W 62ND ST,LOS ANGELES,CA,90044,9,"Danco, Inc.",Ronald Perlstein,310-842-8235,NULL,NULL,,NULL,-118.29631,33.98336,POINT (-118.29631 33.98336)
5017008022,11/05/2019,Single Family,1333 W 51ST PL,LOS ANGELES,CA,90037,9,"H&Z, LLC",Hillary Greene-Pae,818-321-1044,NULL,NULL,,NULL,-118.29924,33.99609,POINT (-118.29924 33.99609)
5085009048,11/06/2019,Single Family,1002 S BURNSIDE AVE,LOS ANGELES,CA,90036,4,Citizens Business Bank,Tonya Anchondo,909-483-7293,NULL,NULL,,NULL,-118.35135,34.05706,POINT (-118.35134999999998 34.05706)
5577030001,01/04/2019,Vacant Residential,2401 N SAN MARCO DR,LOS ANGELES,CA,90068,4,Gerald Feldman,Gerald Feldman,310-740-2724,NULL,NULL,,NULL,-118.3312,34.1147,POINT (-118.33120000000001 34.1147)
6013017034,11/05/2019,Single Family,6629 S ESTRELLA AVE,LOS ANGELES,CA,90044,8,"H&Z, LLC",Hillary Greene-Pae,818-321-1044,NULL,NULL,,NULL,-118.28499,33.97857,POINT (-118.28499000000001 33.97857)
6029018016,03/11/2019,Single Family,755 E 84TH ST,LOS ANGELES,CA,90001,9,Celink,Cory Daggett,866-654-0020,NULL,NULL,,NULL,-118.2611,33.96298,POINT (-118.2611 33.96298)
7414026028,05/06/2019,Single Family,1119 W SANDISON ST,LOS ANGELES,CA,90744,15,Celink,Cory Daggett,866-654-0020,NULL,NULL,,NULL,-118.27712,33.79238,POINT (-118.27712000000001 33.79238)
7445004222,11/18/2019,Single Family,1445 W BRETT PL,SAN PEDRO,CA,90732,15,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,Law Office of Les Zieve,Dawn Talavera,30   Corporate PARK 450 IRVINE CA 92606,714-580-8567,-118.30869,33.75651,POINT (-118.30869 33.75651)
7416027010,03/21/2019,Single Family,620 N NEPTUNE AVE,LOS ANGELES,CA,90744,15,Mr. Cooper LLC,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.2686,33.77742,POINT (-118.2686 33.77742)
7445004222,11/11/2019,Single Family,1445 W BRETT PL,SAN PEDRO,CA,90732,15,Rushmore Loan Managment,Dawn Talavera,888-504-6700,Law Office of Les Zieve,Dawn Talavera,30   Corporate PARK 450 IRVINE CA 92606,714-580-8567,-118.30869,33.75651,POINT (-118.30869 33.75651)
7415015023,08/05/2019,Single Family,1107 W ROBIDOUX ST,LOS ANGELES,CA,90744,15,Selene Finance - Jefferson Office,Eric Moore,877-338-3791,MCS-Bron,Eric Moore,27720   Jefferson AVE 210 Temecula CA 92590,813-387-8306,-118.27655,33.78789,POINT (-118.27654999999999 33.78789)
7448026006,01/31/2019,Single Family,554 W BONITA ST,SAN PEDRO,CA,90731,15,Mr. Cooper,Paula Acosta,800-468-1743,Remedy Field Services,Brandon Cole,15615   Alton PKWY 450 Irvine CA 92618,800-468-1743,-118.28914,33.74793,POINT (-118.28914 33.74793)
7442003016,11/18/2019,Single Family,916 W WESTMONT DR,LOS ANGELES,CA,90731,15,"Caliber Home Loans, INC",Kandyce Hughes,214-874-4174,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,-118.29825,33.76366,POINT (-118.29825 33.76366)
7415014020,01/07/2019,Single Family,1123 W PAPEETE ST,LOS ANGELES,CA,90744,15,Flagstar BANK,Eric Moore,877-338-3791,BRON Inc.,Eric Moore,27720   Jefferson AVE 210 Temecula CA 92590,877-338-3791,-118.27708,33.78701,POINT (-118.27708 33.78701)
7469022079,01/08/2019,Single Family,3642 S BARBARA ST,SAN PEDRO,CA,90731,15,Freedom Mortgage,PROPERTY PRESERVATION COMP,317-537-3748,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.3042,33.7144,POINT (-118.30419999999998 33.7144)
7422014004,12/11/2019,Single Family,1655 N BANNING BLVD,LOS ANGELES,CA,90744,15,MISTER TESTLN c/o Cenlar FSB,ATHENA SANTOS,609-718-2657,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.26001,33.79722,POINT (-118.26000999999998 33.79722)
7458014042,01/25/2019,Single Family,1110 S LELAND ST,SAN PEDRO,CA,90731,15,"Planet Home Lending, LLC",Jessica Garcia,562-728-7334,Jessica Garcia,Jessica Garcia,3245   Flower ST  Lynwood CA 90262,562-728-7334,-118.30101,33.73427,POINT (-118.30101000000002 33.73427)
4326008005,05/02/2019,Single Family,10568 W ASHTON AVE,LOS ANGELES,CA,90024,5,Celink,Daniel Stack,866-727-4303,Red A Ranch,Robert Buchanan,132  N Pine ST A San Gabriel CA 91775,626-287-4431,-118.43173,34.06143,POINT (-118.43173 34.06143)
2404008001,11/07/2019,Single Family,10820 W PENROSE ST,LOS ANGELES,CA,91352,7,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.36568,34.23216,POINT (-118.36568000000001 34.23216)
2504021016,11/27/2019,Single Family,13855 W ASTORIA ST,LOS ANGELES,CA,91342,7,None,Manuel Solana,949-305-8901,C&H Trust Deed Service,Coby Halavais,1   1 Orchard Rd.  110 Lake Forest CA 92679,949-305-8901,-118.43514,34.31502,POINT (-118.43514 34.31502)
2044012014,01/01/2019,Single Family,23501 W LADRILLO ST,LOS ANGELES,CA,91367,3,U.S. Bank N.A co select portfolio servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.63879,34.16694,POINT (-118.63879 34.16694)
4370015020,01/07/2019,Single Family,1516 N STONE CANYON RD,LOS ANGELES,CA,90077,5,"PLM LOAN MANAGEMENT SERVICES, INC.",Elizabeth Godbey,408-370-4030,Landmark Enterprise,Riley Bowers,1115   Searchlight Ranch RD  Acton CA 93510,661-674-7852,-118.4543,34.10125,POINT (-118.45430000000002 34.10125)
7415003017,02/04/2019,Single Family,1123 W M ST,LOS ANGELES,CA,90744,15,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,-118.27721,33.78871,POINT (-118.27721000000001 33.78871)
2360001030,01/22/2019,Single Family,13546 W SARAH ST,LOS ANGELES,CA,91423,4,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,Steve Daggett,Steve Daggett,8011   Glencrest DR  Sun Valley CA 91352,818-577-6004,-118.42842,34.15386,POINT (-118.42842 34.15386)
2415015034,05/16/2019,Single Family,5805 N WHITNALL HWY,LOS ANGELES,CA,91601,2,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.36248,34.17605,POINT (-118.36248 34.17605)
2781031030,11/05/2019,Single Family,8836 N COMANCHE AVE,LOS ANGELES,CA,91306,3,"PEAK FORECLOSURE SERVICES, INC.",Kelli Espinoza,818-591-9237,PEAK FORECLOSURE SERVICES,KELLI ESPINOZA,5900   Canoga AVE 220 Woodland Hills CA 91367,818-591-9237,-118.57204,34.23115,POINT (-118.57204 34.23115)
5551024014,01/24/2019,Single Family,1438 N OGDEN DR,HOLLYWOOD,CA,90046,4,Cenlar FSB,Athena Santos,609-883-3900,J & J Board Ups,Javier Ortiz,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.35913,34.09731,POINT (-118.35913 34.09731)
5051027016,01/09/2019,Single Family,2907 S NORTON AVE,LOS ANGELES,CA,90018,10,"U.S. Bank N.A., c/o Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.3329,34.02922,POINT (-118.33290000000001 34.02922)
2604022016,07/03/2019,Single Family,15157 W REX ST,LOS ANGELES,CA,91342,7,Loancare,Sarah Richardson,757-452-5138,"Incorp Services, Inc",Registrations Department,5716   Corsa Ave Suite 110   Westlake Village CA 91362,888-727-6303,-118.4633,34.30113,POINT (-118.4633 34.30113)
2779006047,06/08/2019,Single Family,8341 N DE SOTO AVE,LOS ANGELES,CA,91304,3,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,"Cyprexx Services, LLC",Code Compliance,41951   Remington AVE 150 Temecula CA 92590,877-339-8202,-118.58871,34.22126,POINT (-118.58871000000002 34.22126)
6051004010,06/06/2019,Single Family,10335 S MCKINLEY AVE,LOS ANGELES,CA,90002,8,Mr. Cooper LLC,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.26095,33.94221,POINT (-118.26095 33.94221)
2653011001,07/07/2019,Single Family,8544 N NOBLE AVE,LOS ANGELES,CA,91343,6,Mr. Cooper LLC,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.461,34.22599,POINT (-118.461 34.22599)
5101029022,10/18/2019,Multi-Family,220 1/2 W 55TH ST,LOS ANGELES,CA,90037,9,U.S. Bank N.A.,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.27701,33.99229,POINT (-118.27701 33.99229)
4006001014,06/20/2019,Single Family,6023 S 8TH AVE,LOS ANGELES,CA,90043,8,Penny Mac Loan Service,Jennifer Gordon,818-878-8411,Safeguard Properties - Pennymac,David Mazanek,7887   Safeguard Cir  Valley View OH 44125,800-852-8306,-118.32665,33.9847,POINT (-118.32665 33.9847)
2651005016,07/25/2019,Single Family,14800 W CALAHAN ST,LOS ANGELES,CA,91402,6,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.45556,34.23626,POINT (-118.45556 34.23626)
2673003044,02/28/2019,Single Family,8545 N GLORIA AVE,LOS ANGELES,CA,91343,12,Mr. Cooper LLC,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.48095,34.226,POINT (-118.48094999999999 34.226)
2747024040,09/20/2019,Single Family,10125  DE SOTO,LOS ANGELES,CA,91311,12,Quicken Loan Servicing,Eric Moore,877-338-3791,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.58875,34.25448,POINT (-118.58874999999999 34.25448)
2345003033,01/11/2019,Multi-Family,13246 W CUMPSTON ST,LOS ANGELES,CA,91401,4,CitiMortgage,Erin Theobald,877-290-3997,Pinelands Preservation,Will Wheelehan,44501   Auburn BLVD  Sacramento CA 95841,916-277-8243,-118.42137,34.16952,POINT (-118.42137000000001 34.16952)
5451023017,10/17/2019,Vacant Residential,469 W DEL NORTE ST,LOS ANGELES,CA,90065,1,Chih-Wen Yu,Chih-Wen Yu,949-387-1262,C&H Trust Deed Service,Coby Halavais,1   1 Orchard Rd.  110 Lake Forest CA 92679,949-305-8901,-118.21545,34.0924,POINT (-118.21545 34.0924)
2748033034,02/14/2019,Single Family,20270 W LABRADOR ST,LOS ANGELES,CA,91311,12,Champion Mortgage,Jennifer Hathaway,972-894-2950,NULL,NULL,,NULL,-118.57506,34.24902,POINT (-118.57505999999998 34.24902)
4412027008,08/06/2019,Single Family,15230 W EARLHAM ST,LOS ANGELES,CA,90272,11,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.52627,34.03677,POINT (-118.52627 34.03677)
2264014008,02/08/2019,Single Family,4736 N NORWICH AVE,LOS ANGELES,CA,91403,4,U.S. Bank/RMAC/2016-CTT,Rushmore Loan Management,310-777-6375,"The Harvey Group, Inc.",Joyce Essex Harvey,301  N Canon DR E Beverly HIlls CA 90210,310-777-6375,-118.46054,34.15668,POINT (-118.46054000000001 34.15668)
5143012021,07/26/2019,Multi-Family,726 S COLUMBIA AVE,LOS ANGELES,CA,90017,1,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.26888,34.05192,POINT (-118.26888 34.05192)
2706032018,05/01/2019,Single Family,21217 W TULSA ST,LOS ANGELES,CA,91311,12,PennyMac Loan Services,Property Preservation,866-695-4122,Safeguard c/o Bron Inc Jefferson,Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,800-852-8306,-118.59516,34.26766,POINT (-118.59515999999999 34.26766)
2045009029,01/15/2019,Single Family,6115 N DILL PL,LOS ANGELES,CA,91367,3,"SETERUS, INC",Property Preservation,877-735-3637,SO CAL INSPECTORS INC,Suzanne Phillips,9525   Stewart and Gray RD  Downey CA 90241,760-591-9244,-118.64717,34.18122,POINT (-118.64717 34.18122)
5492030015,01/17/2019,Single Family,6332 S ARROYO GLEN ST,LOS ANGELES,CA,90042,14,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,-118.18366,34.11226,POINT (-118.18366 34.11226)
5054018015,06/10/2019,Single Family,2320 S RAYMOND AVE,LOS ANGELES,CA,90007,8,Mr. Cooper,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.29741,34.03478,POINT (-118.29741000000001 34.03478)
2662001024,08/06/2019,Single Family,11425 N BLUCHER AVE,LOS ANGELES,CA,91344,12,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.47113,34.27791,POINT (-118.47113 34.27791)
4256023027,01/03/2019,Single Family,2568 S MILITARY AVE,LOS ANGELES,CA,90064,5,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,-118.43053,34.03527,POINT (-118.43052999999999 34.03527)
4236030017,12/23/2019,Single Family,1217 E ELM ST,LOS ANGELES,CA,90291,11,Mr. Cooper LLC,Paula Acosta,800-468-1743,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.44868,33.99245,POINT (-118.44868000000001 33.99245)
4250006021,06/26/2019,Multi-Family,3203 S BARRINGTON AVE,LOS ANGELES,CA,90066,11,Rediger Investment Mortgage Fund,Daren Rediger,818-842-2312,Rediger Investment Corp.,Daren Rediger,500  E Olive AVE  Burbank CA 91501,818-842-2312,-118.43616,34.01922,POINT (-118.43615999999999 34.01922)
6067007032,01/15/2019,Single Family,10914 S ANZAC AVE,LOS ANGELES,CA,90059,15,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,-118.23786,33.93667,POINT (-118.23786000000001 33.93667)
2627010006,01/15/2019,Single Family,13267 W RELIANCE ST,LOS ANGELES,CA,91331,6,Reverse Mortgage Solutions Inc.,Amy Sporn,832-616-5910,South Pacific Field Services LLC,Tamie Mason,31568   Railroad Canyon ROAD 100 Canyon Lake CA 92587,951-696-8100,-118.42155,34.2307,POINT (-118.42155000000001 34.230700000000006)
5186009019,06/10/2019,Single Family,446 S BERNAL AVE,LOS ANGELES,CA,90063,14,Mr. Cooper LLC,Paula Acosta,800-468-1743,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.19865,34.03315,POINT (-118.19865 34.03315)
2027035009,01/01/2019,Single Family,23768 W POSEY LANE,LOS ANGELES,CA,93063,12,Deutsche Bank National Trust Company c/o Select Portfolio Servicing,N/A N/A,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.64645,34.20882,POINT (-118.64645 34.20882)
6029008030,02/01/2019,Multi-Family,612 E 80TH ST,LOS ANGELES,CA,90001,9,RoundPoint Mortgage Servicing Corporation,Elizabeth Harting,704-426-8874,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.26455,33.96632,POINT (-118.26455 33.96632)
6117009002,11/05/2019,Multi-Family,858 W ATHENS BLVD,LOS ANGELES,CA,90044,15,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,-118.29078,33.92323,POINT (-118.29078 33.923230000000004)
5106022004,01/07/2019,Multi-Family,1608 1/2 E 49TH ST,LOS ANGELES,CA,90011,9,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Elizabeth Acosta,Elizabeth Acosta,11030   Arrow Route  102 RANCHO CUCAMONGA CA 91730,929-481-1100,-118.24528,33.99828,POINT (-118.24527999999998 33.99828)
4416019032,01/10/2019,Single Family,550 N PASEO MIRAMAR,LOS ANGELES,CA,90272,11,JP Morgan Chase NA,Amy Lott,888-310-1506,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.55703,34.04693,POINT (-118.55703 34.04693)
4366015033,03/01/2019,Single Family,375 S GLENROY AVE,LOS ANGELES,CA,90049,5,Fay Servicing LLC - Eric Moore,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,-118.46166,34.06839,POINT (-118.46166000000001 34.06839)
2779014011,03/22/2019,Single Family,21341 W COMMUNITY ST,LOS ANGELES,CA,91304,3,Mr. Cooper LLC,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.59651,34.22226,POINT (-118.59651 34.22226)
4371019022,08/05/2019,Vacant Residential,10438  UNKNOWN ST (HH),LOS ANGELES,CA,90077,5,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,-118.44101,34.09289,POINT (-118.44101 34.09289)
5420009006,12/20/2019,Single Family,2027 N LEMOYNE ST,LOS ANGELES,CA,90026,13,"Trustee Corps, Bayview Loan Servicing",Madeline DeFranco,305-631-3760,BRON Inc.,Eric Moore,27720   Jefferson AVE 210 Temecula CA 92590,877-338-3791,-118.25324,34.08957,POINT (-118.25324 34.08957)
2651007125,12/09/2019,Single Family,9155 N CEDROS AVE,LOS ANGELES,CA,91402,6,REGINALD V & JERESA J LIDDELL C/O BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.45375,34.23712,POINT (-118.45375 34.23712)
5672005012,10/29/2019,Vacant Residential,312 S MOUNT CARMEL DR,LOS ANGELES,CA,90041,14,"Netline Realty and Mortgage, Inc",Farzad Talab,818-692-1030,RAMIN TALAB,RAMIN TALAB,760   Cavanagh RD  Glendale CA 91207,818-694-9955,-118.22385,34.14846,POINT (-118.22385000000001 34.14846)
6035014007,12/04/2019,Single Family,2032 W 82ND ST,LOS ANGELES,CA,90047,8,GREGORY FUNDING,DALEANA BAUTSITA,503-505-5645,Cargile Company Realtors In,Paul Cargile,5901  W Century BLVD 640 Los Angeles CA 90045,310-275-0788,-118.31448,33.96447,POINT (-118.31448 33.96447)
5113034008,01/04/2019,Multi-Family,4204 1/2 S WALL ST,LOS ANGELES,CA,90011,9,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,Los Angeles REO Brokers,Orit Gadish,269  S Beverly DR 453 Beverly Hills CA 90212,323-606-1919,-118.27149,34.00723,POINT (-118.27149000000001 34.00723)
2277009019,10/29/2019,Single Family,15047 W RAYNETA DR,LOS ANGELES,CA,91403,4,Mr. Cooper LLC,Paula Acosta,800-468-1743,"Solid Foundation Properties, LLC",Ruth Wagner,3937   arlington AVE  LOS ANGELES CA 90008,844-488-7662,-118.46235,34.14455,POINT (-118.46235000000001 34.14455)
4325001080,09/13/2019,Single Family,10724 W WILSHIRE BLVD 1-157,LOS ANGELES,CA,90024,5,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,-118.43646,34.06049,POINT (-118.43646000000001 34.06049)
4229019130,02/26/2019,Single Family,13700 W MARINA POINTE DR,LOS ANGELES,CA,90292,11,Mr. Cooper LLC,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.44503,33.98482,POINT (-118.44503 33.98482)
2244008001,10/09/2019,Single Family,5860 N NATICK AVE,VAN NUYS,CA,91411,4,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,-118.45393,34.17741,POINT (-118.45393 34.17741000000001)
2656001004,01/09/2019,Single Family,15518 W LASSEN ST,LOS ANGELES,CA,91345,7,CitiMortgage,Erin Theobald,877-290-3997,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,-118.4705,34.24991,POINT (-118.4705 34.24991)
6074023067,02/01/2019,Multi-Family,216 W 112TH ST,LOS ANGELES,CA,90061,8,RoundPoint Mortgage Servicing Corporation,Elizabeth Harting,704-426-8874,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.27667,33.93281,POINT (-118.27667000000001 33.93281)
5405021051,06/06/2019,Single Family,842 N EAST KENSINGTON ROAD,LOS ANGELES,CA,90026,1,"5AIF NUTMEG, LLC",Patricia McLoon,949-387-2422,5Arch Funding Corp.,Patricia McLoon,19800   MacArthur BLVD 1150 Irvine CA 92612,949-387-2422,-118.25242,34.07206,POINT (-118.25242 34.07206)
5538018005,03/10/2019,Multi-Family,923 1/2 N HELIOTROPE DR,LOS ANGELES,CA,90029,13,Freedom Mortgage,PROPERTY PRESERVATION DEPT,317-537-3748,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.29513,34.08868,POINT (-118.29513 34.08868)
