APN,Registered Date,Property Type,Property Location,Zip Code,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Contact Phone
5426008027,03/31/2014,Single Family,"3369 W DESCANSO DR
Los Angeles, CA 90026
(34.084978515000046, -118.27654129899997)",90026,13,"Wilmington Trust Co, as Trustee, c/o Select Portfolio Servicing",CODE VIOLATION,888-349-8964,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
2365013009,01/28/2014,Single Family,"4508 N KRAFT AVE
Los Angeles, CA 91602
(34.152470977000064, -118.38007576199999)",91602,2,Union Bank,Lori Liddicoat,858-457-6423,Safeguard Properties,Heidi Brodersen,445   S. Figueroa Street   Los Angeles CA 90071,858-457-6332
2222003011,12/01/2014,Single Family,"7818 N LANGDON AVE
VAN NUYS, CA 91406
(34.21262008800005, -118.469556206)",91406,6,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,LPS,Amy Whitcomb,1003  E Brier DR  San Bernardino CA 92408,281-404-7816
2530031019,12/15/2014,Single Family,"11426 W KAGEL CANYON ST
Los Angeles, CA 91342
(34.280797146000054, -118.38014259399995)",91342,7,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,PPS,Trevethan Aaron,30011   Ivy Glenn DR 224 Laguna Niguel CA 92677,949-612-0342
2293001021,06/09/2014,Single Family,"3904 N HAYVENHURST AVE
Los Angeles, CA 91436
(34.141573848000064, -118.49723631999996)",91436,5,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Amy Whitcomb,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
5204010013,05/28/2014,Single Family,"2202 N DALY ST
Los Angeles, CA 90031
(34.07090325200005, -118.21549650299994)",90031,1,Bank of America,Gerry Checky,800-852-8306,Keller Williams Realty,Steven Senigram,1660    HILLHURST AVE  Los Angeles CA 90027,323-300-1178
2692024009,01/22/2014,Single Family,"9670 N PASO ROBLES AVE
Los Angeles, CA 91325
(34.246100788000035, -118.50445651799998)",91325,12,Musicians Interguild Credit Union,Gene Dewald,323-462-6471,NULL,NULL,,NULL
4311021019,03/12/2014,Single Family,"9335 W KINCARDINE AVE
Los Angeles, CA 90034
(34.03470777600006, -118.39432257399994)",90034,5,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084
5013026009,01/13/2014,Single Family,"4833 S 10TH AVE
Los Angeles, CA 90043
(33.99900086700006, -118.32819196899999)",90043,8,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
4313021001,01/08/2014,Single Family,"3708 S CANFIELD AVE
Los Angeles, CA 90034
(34.028140922000034, -118.39577905899995)",90034,5,Rushmore Loan Management,Rose Lara,949-341-5603,Bron Inc,Eric Moore,41707   Winchester RD 201 Temecula CA 92590,951-970-3899
2101013003,11/05/2014,Single Family,"8012 N ZELZAH AVE
Los Angeles, CA 91335
(34.216150680000055, -118.52458572899997)",91335,12,Shellpoint Mortgage Services,Johan Correa,866-825-2174,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
2163021029,09/08/2014,Single Family,"5431 N TOPEKA DR
Los Angeles, CA 91356
(34.16999027000003, -118.54662311899995)",91356,3,SolutionStar,Paula Acosta,972-315-8837,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
5083016016,07/07/2014,Multi-Family,"1214 S HUDSON AVE
Los Angeles, CA 90019
(34.05254970500005, -118.33673213999998)",90019,10,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,999  W Marshall BCH  San Bernardino CA 92405,909-289-1453
6041001018,01/27/2014,Single Family,"131 1 2 E 87TH ST
Los Angeles, CA 90003
(33.963350054000045, -118.27393600099998)",90003,8,Green Tree,Jeremy Iverson,480-383-0648,Connie Renteria /  Five Brothers,Connie Renteria,5228   Halifax RD  Temple City CA 91780,626-453-0397
6006024028,09/15/2014,Multi-Family,"347 E 62ND ST
Los Angeles, CA 90003
(33.98337823000003, -118.26791956399995)",90003,9,Green Tree,Jeremy Iverson,480-383-0648,Connie Renteria /  Five Brothers,Connie Renteria,5228   Halifax RD  Temple City CA 91780,626-453-0397
4245018023,05/30/2014,Single Family,"12908 W MCCUNE AVE
Los Angeles, CA 90066
(34.00111530400005, -118.44258589799995)",90066,11,Bank of America,VPR Department,800-669-2443,Safeguard Properties,Code Compliance,21520   BURBANK BLVD 102 WOODLAND HILLD CA 91367,800-852-8306
6014025015,01/30/2014,Single Family,"1300 W 69TH ST
Los Angeles, CA 90044
(33.97698306600006, -118.29822918499997)",90044,8,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Amy Whitcomb,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
6033013011,11/24/2014,Single Family,"1200 W 84TH PL
Los Angeles, CA 90044
(33.96179368700007, -118.29605021999998)",90044,8,CAM VII Trust,Laura Maier,310-535-9293,HMC Assets,Laura Maier,2015   Manhatten Beach BLVD 200 Redondo Beach CA 90278,310-535-9293
5586017053,12/03/2014,Single Family,"5921 W CHULA VISTA WAY
Los Angeles, CA 90068
(34.10740090100006, -118.31859113699994)",90068,4,"CITIMORTAGAE, INC",CODE VIOLATION,877-290-3997,N/A,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
2305005001,06/09/2014,Single Family,"12835 W WILLARD ST
Los Angeles, CA 91605
(34.219168506000074, -118.41311974799999)",91605,2,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Amy Whitcomb,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
5594001003,06/16/2014,Multi-Family,"4171 E WILLIMET AVE
Los Angeles, CA 90039
(34.13243532100006, -118.26605777299994)",90039,13,GREEN TREE SERVICING LLC,James Patterson,800-557-1602,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,445  W 34 ST  San Bernardino CA 92405,909-289-1453
5149002015,05/20/2014,Single Family,"501 S BROADWAY
Los Angeles, CA 90013
(34.048018167000066, -118.25079900499998)",90013,14,"SETERUS INC,",Preservation Compliance,866-570-5277,Safeguard Properties,Code Compliance,7887   Safeguard Cir  Valley View OH 44125,800-852-8306
5044021010,01/30/2014,Multi-Family,"2440 W EXPOSITION PL
Los Angeles, CA 90018
(34.01934325000008, -118.32258611799995)",90018,10,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Amy Whitcomb,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2558018010,09/19/2014,Single Family,"7418 W SUMMITROSE ST
Los Angeles, CA 91042
(34.25953293800006, -118.29385973199999)",91042,7,NATNIC. LLC,MELINA MELIKYAN,818-388-4444,NULL,NULL,,NULL
5535026013,09/16/2014,Single Family,"4901 W MARATHON ST
Los Angeles, CA 90029
(34.08457738000004, -118.30533645899999)",90029,13,PNC MORTGAGE PRESALE,JENNIFER SMITH,937-910-1887,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
2506034096,06/09/2014,Single Family,"12580 N SAN FERNANDO RD
SYLMAR, CA 91342
(34.29787015900007, -118.45673431599994)",91342,7,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Amy Whitcomb,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
4425028001,05/15/2014,Single Family,"1470 S SAN REMO DR
Los Angeles, CA 90272
(34.05640466500006, -118.49791271799995)",90272,11,BAC HOME LOANS SERVICING,ROEL RODRIGUEZ,800-669-2443,"US BEST REPAIR SERVICE, INC",ROGER QUINTANA,2501   Alton PKWY  Irvine CA 92606,888-750-2378
5057022020,03/05/2014,Single Family,"3036 S FARMDALE AVE
Los Angeles, CA 90016
(34.02654040200008, -118.34603620499996)",90016,10,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,PPS,Trevethan Aaron,30011   Ivy Glenn DR 224 Laguna Niguel CA 92677,949-612-0342
6067009009,01/07/2014,Single Family,"2106 E 110TH ST
Los Angeles, CA 90059
(33.935082642000054, -118.23476841599995)",90059,15,JB NUTTER & COMPANY,CINDY COMBS,816-531-5642,"US BEST REPAIR SERVICE, INC",ROGER QUINTANA,2501   Alton PKWY  Irvine CA 92606,888-750-2378
2230001019,07/15/2014,Single Family,"6903 N ALDEA AVE
Los Angeles, CA 91406
(34.195849778000024, -118.50841230199995)",91406,6,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Amy Whitcomb,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2226016008,08/18/2014,Single Family,"16632 W CANTLAY ST
Los Angeles, CA 91406
(34.20216313100008, -118.49587777999994)",91406,6,Nationstar Mortgage,Dawn Campos,888-456-0714,"NEW BEGINNING PROPERTIES, INC",JOSE CHAVEZ,445  W 34th ST  San Bernardino CA 92405,877-339-8202
2701020012,06/27/2014,Single Family,"19409 W KILFINAN ST
Los Angeles, CA 91326
(34.297127284000055, -118.55676319899999)",91326,12,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Amy Whitcomb,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2688029068,08/22/2014,Single Family,"16815 W PARTHENIA ST
Los Angeles, CA 91343
(34.22849853100007, -118.49864901799998)",91343,12,Nationstar Mortgage,Dawn Campos,888-456-0714,"Cyprexx Services, LLC.",Property Registrations Property Registrations,525   Grand Regency BLVD  Brandon FL 33510,877-339-8202
5006026026,04/17/2014,Single Family,"5451 S 5TH AVE
Los Angeles, CA 90043
(33.991611284000044, -118.32258266099996)",90043,8,BAC HOME LOANS SERVICING,SAFEGUARD COMPLIANCE,800-852-8306,"US BEST REPAIR SERVICE, INC",ROGER QUINTANA,2501   Alton PKWY  Irvine CA 92606,888-750-2378
4360029092,06/02/2014,Single Family,"10433 W WILSHIRE BLVD
Los Angeles, CA 90024
(34.066072887000075, -118.43038899499999)",90024,5,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Amy Whitcomb,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
5191015009,11/19/2014,Single Family,"3520 E OPAL ST
Los Angeles, CA 90023
(34.02093455100004, -118.20118055299997)",90023,14,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
5558011013,12/09/2014,Single Family,"1586 N SUNSET PLAZA DR
HOLLYWOOD, CA 90069
(34.099370374000046, -118.38053667499997)",90069,4,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
2531025072,07/29/2014,Single Family,"12161 W VAN NUYS BLVD
Los Angeles, CA 91342
(34.28383456100005, -118.39775637399998)",91342,7,Sun West Mortgage Company,Joseph Clark,562-741-6957,Coldwell Banker/Joyce Essex Harvey,Joyce EssexHarvey,301  N CANON DR 325 BEVERLY HILLS CA 90210,310-385-7527
5075020035,11/07/2014,Multi-Family,"1638 1 2 S CATALINA ST
Los Angeles, CA 90006
(34.05010243400005, -118.29268904499997)",90006,1,Nationstar Mortgage LLC,NSTAR CLIENT,469-549-2178,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
5445019028,01/21/2014,Single Family,"2358 E RIVERDALE AVE
Los Angeles, CA 90031
(34.091628193000076, -118.23407013299999)",90031,13,ONE WEST BANK,LEAH COLLINS,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,999  W Marshall BCH  San Bernardino CA 92405,909-289-1453
2660010002,11/26/2014,Single Family,"15306 W MAYALL ST
Los Angeles, CA 91345
(34.253573336000045, -118.46529967699996)",91345,7,Central Mortgage Company,Gerald Brown,501-716-5887,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
2532027008,07/09/2014,Single Family,"12253 W GAGER ST
Los Angeles, CA 91331
(34.27577435000006, -118.40021649599998)",91331,7,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Amy Whitcomb,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2321014024,10/10/2014,Single Family,"6904 N RADFORD AVE N
HOLLYWOOD, CA 91605
(34.19597887700007, -118.39211485499999)",91605,6,"Bank of New York Mellon, as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
5580016011,06/09/2014,Single Family,"2772 N HOLLYRIDGE DR
Los Angeles, CA 90068
(34.11807199700007, -118.31855413899996)",90068,4,Fay Financial,Simone Castaneda,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,445  W 34 ST  San Bernardino CA 92405,909-289-1453
5035025006,03/27/2014,Multi-Family,"1626 1 2 W 38TH PL
Los Angeles, CA 90062
(34.00387157600005, -118.30885680999995)",90062,8,"US Bank, N.A., as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
2524010002,11/19/2014,Single Family,"11723 N BORDEN AVE
Los Angeles, CA 91331
(34.28325842000004, -118.41605921899998)",91331,7,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
5493010026,09/23/2014,Single Family,"6301 E CRESCENT ST
Los Angeles, CA 90042
(34.11754646800006, -118.18075981499999)",90042,14,CALIBER HOME LOANS,DENA GRIMES,405-945-1400,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
5029003031,01/30/2014,Single Family,"3860 S ALSACE AVE
Los Angeles, CA 90008
(34.01650863700007, -118.35815014399998)",90008,10,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Amy Whitcomb,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
4237004006,10/21/2014,Single Family,"614 E VENEZIA AVE
Los Angeles, CA 90291
(33.990342621000025, -118.45915455799997)",90291,11,SolutionStar,Paula Acosta,972-315-8837,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
4204020117,11/06/2014,Single Family,"5829 BOWCROFT
LOS ANGELES, CA 90016
(34.01956448800007, -118.37357804499999)",90016,10,Resurgent Capital,Johan Correa,866-825-2174,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
2235020055,11/19/2014,Single Family,"15053 W VICTORY BLVD
VAN NUYS, CA 91411
(34.186677615000065, -118.46158932999998)",91411,6,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
6002003014,12/01/2014,Multi-Family,"1515 W 58TH PL
Los Angeles, CA 90047
(33.98836761000007, -118.30303880899999)",90047,8,GREEN TREE SERVICING,JAMES PATTERSON,000-000-0000,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
2271018066,09/04/2014,Single Family,"4350 N MAMMOTH AVE
Los Angeles, CA 91423
(34.149741222000046, -118.43255643699996)",91423,4,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
2656011086,10/27/2014,Single Family,"9621 SEPULVEDA
LOS ANGELES, CA 91343
(34.24515130800006, -118.46765263699996)",91343,7,"HSBC Bank USA, National Association C/O Select Portfolio Servicing",NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
5060025018,02/03/2014,Single Family,"2106 S 5TH AVE
Los Angeles, CA 90018
(34.037691033000044, -118.32243632099994)",90018,10,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Amy Whitcomb,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
2642009003,06/27/2014,Single Family,"9416 N GULLO AVE
Los Angeles, CA 91331
(34.24083255600004, -118.43985844699995)",91331,6,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Amy Whitcomb,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
5155025012,01/14/2014,Single Family,"214 S RAMPART BLVD
Los Angeles, CA 90057
(34.067993741000066, -118.27774276599996)",90057,13,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801
