APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Mgmt Contact Phone,lon,lat,Property on map
2642004017,01/19/2022,Single Family,9305 N DORRINGTON PL,LOS ANGELES,CA,91331,6,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Computershare,Computershare Management,6200  S Quebec ST  Greenwood Village CO 80111,303-518-3327,-118.44092,34.23755,POINT (-118.44092 34.23755)
2040007001,06/28/2022,Single Family,22656 W MIRANDA ST,LOS ANGELES,CA,91367,3,Reverse Mortgage Solutions,Erin Hill,866-503-5559,Carlos Sims,Carols Sims,11820   Cherrylee DR  El Monte CA 91732,626-485-8889,-118.6209,34.17455,POINT (-118.6209 34.17455)
4352006039,01/24/2022,Single Family,1549 N LINDACREST DR,LOS ANGELES,CA,90210,5,"The Rama Fund, LLC",Michael Hernandez,747-900-2109,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.40426,34.09941,POINT (-118.40426 34.09941)
5061010008,01/10/2022,Single Family,2209 S WEST BLVD,LOS ANGELES,CA,90016,10,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.33907,34.0368,POINT (-118.33907 34.0368)
2727019002,05/27/2022,Single Family,22107 W HEIDEMARIE ST,LOS ANGELES,CA,91311,12,"DOVENMUEHLE MORTGAGE, INC.",PROPERTY PRESERVATION,847-550-7410,EDWARD ZUBIA  no unit number,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,-118.60859,34.24229,POINT (-118.60859 34.24229)
5045014004,03/02/2022,Single Family,3917 S SOMERSET DR,LOS ANGELES,CA,90008,10,Security National Servicing Corp,Eric Moore,877-338-3791,First Allegiance,John Concepcion,473   Broadway 5th Fl AVE  Bayonne NJ 7002,201-746-8715,-118.33834,34.01481,POINT (-118.33834 34.01481)
5437024025,01/10/2022,Single Family,2931 N GRACIA ST,LOS ANGELES,CA,90039,13,Statebridge,Bryce Fendall,720-697-6421,"New Beginning Properties, Inc.",Jose Chavez,445  W 34th ST  San Bernardino CA 92405,877-339-8202,-118.26017,34.11125,POINT (-118.26017 34.11125)
5431036021,07/29/2022,Single Family,2956 W SWAN PL,LOS ANGELES,CA,90026,13,JPMORGAN CHASE BANK N.A.,OPERATIONS SR SPECIALIST I,888-310-1506,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.26822,34.09108,POINT (-118.26822 34.09108)
5183006006,01/10/2022,Single Family,163 N CHICAGO ST,LOS ANGELES,CA,90033,14,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.21174,34.0459,POINT (-118.21174 34.0459)
5013007019,01/07/2022,Single Family,5136 S BRYNHURST AVE,LOS ANGELES,CA,90043,8,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.33316,33.99559,POINT (-118.33316 33.99559)
5586005068,03/21/2022,Single Family,1900 N VINE ST,LOS ANGELES,CA,90068,4,"Real Property Trustee, Inc.",Mike Kemel,877-770-2132,LOS ANGELES FEDERAL CREDIT UNION,ARMIDA VALDEZ,300  S GLENDAL AVE  GLENDALE CA 91205,877-695-2328,-118.32651,34.10624,POINT (-118.32651 34.10624)
5005023021,01/06/2022,Single Family,5727 S ST ANDREWS PL,LOS ANGELES,CA,90062,8,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.31148,33.99018,POINT (-118.31148 33.99018)
2625027016,03/02/2022,Single Family,9161 N ROSLYNDALE AVE,LOS ANGELES,CA,91331,6,Pac Fin LLC,Cecil McNab,323-304-9708,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.43069,34.23659,POINT (-118.43069 34.23659)
2727015032,01/02/2022,Single Family,22055 W BALLINGER ST,LOS ANGELES,CA,91311,12,US Bank as Trustee of the LSF9 Master Participation Trust,Ryan Curran,800-516-1553,Northsight Management - AMR,Ryan Curran,16820   Ventura BLVD  Ventura CA 91436,800-516-1553,-118.60797,34.24338,POINT (-118.60797 34.24338)
6019015015,06/24/2022,Single Family,1113 W 78TH ST,LOS ANGELES,CA,90044,8,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.29457,33.96952,POINT (-118.29457 33.96952)
2301016022,08/26/2022,Single Family,13416 W BLYTHE ST,LOS ANGELES,CA,91402,6,Jacqueline Stein,Jacqueline Stein,877-770-2132,NULL,NULL,,NULL,-118.42582,34.21479,POINT (-118.42582 34.21479)
5586017062,01/04/2022,Single Family,2200 N HOLLYRIDGE DR,LOS ANGELES,CA,90068,4,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.31938,34.10911,POINT (-118.31938 34.10911)
2126009010,07/29/2022,Single Family,7005 N BAIRD AVE,LOS ANGELES,CA,91335,4,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.53747,34.19792,POINT (-118.53747 34.19792)
6013018017,08/22/2022,Single Family,6625 S DENVER AVE,LOS ANGELES,CA,90044,8,Selene Finance LP,Eric Moore,877-338-3791,MCS,Code Compliance,350   HIGHLAND DR  LEWISVILLE TX 75067,813-387-1100,-118.2839,33.97868,POINT (-118.2839 33.97868)
2822038009,09/30/2022,Single Family,19227 W INDEX ST,LOS ANGELES,CA,91326,12,JPMORGAN CHASE BANK N.A.,OPERATIONS SPECIALIST,888-310-1506,Greenfield Property LLC,MCS LLC,4033   Stable Drive   Palmdale CA 93552,866-563-1100,-118.55317,34.27372,POINT (-118.55317 34.27372)
5047021032,08/11/2022,Single Family,5766 1/2 CLEMSON ST,LOS ANGELES,CA,90016,10,Reverse Mortgage Solutions,Erin Hill,866-503-5559,Carlos Sims,Carols Sims,11820   Cherrylee DR  El Monte CA 91732,626-485-8889,-118.37091,34.02406,POINT (-118.37091 34.02406)
6109017008,02/01/2022,Single Family,1223 W 187TH PL,LOS ANGELES,CA,90248,15,JPMORGAN CHASE BANK N.A.,OPERATIONS SPECIALIST,888-310-1506,Greenfield Property LLC,MCS LLC,4033   Stable Drive   Palmdale CA 93552,866-563-1100,-118.29515,33.86065,POINT (-118.29515 33.86065)
6052019019,02/01/2022,Single Family,358 E 97TH ST,LOS ANGELES,CA,90003,8,Reverse Mortgage Solutions,Shelly Martinez,281-404-7962,Guardian Asset Management,Gina Butler,2021   Hartel AVE  Levittown PA 19057,888-872-9094,-118.26753,33.94821,POINT (-118.26753 33.94821)
2357026005,01/14/2022,Single Family,12518 W ADDISON ST,LOS ANGELES,CA,91607,2,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.40602,34.16116,POINT (-118.40602 34.16116)
6083004041,03/01/2022,Single Family,385 E 116TH ST,LOS ANGELES,CA,90061,15,U.S. Bank National Association,Ashish Tomar,866-952-6514,Safeguard Properties,Edward Zubia,3540   Wilshire BLVD 11110 Los Angeles CA 90010,213-804-7437,-118.26678,33.92928,POINT (-118.26678 33.92928)
2103013005,06/30/2022,Single Family,7840 N WILBUR AVE,LOS ANGELES,CA,91335,3,JPMORGAN CHASE BANK N.A.,OPERATIONS SR SPECIALIST I,888-310-1506,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.54463,34.21313,POINT (-118.54463 34.21313)
6071008009,04/26/2022,Single Family,727 E 110TH ST,LOS ANGELES,CA,90059,8,"United Asset Management, LLC",Claudio Chavez,714-849-5940,NULL,NULL,,NULL,-118.26197,33.93575,POINT (-118.26197 33.93575)
6001002039,02/17/2022,Multi-Family,5849 S WILTON PL,LOS ANGELES,CA,90047,8,CARRINGTON MORTGAGE SERVICES LLC,MORTGAGE SERVICES,866-563-1100,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.31497,33.98768,POINT (-118.31497 33.98768)
5683013021,05/17/2022,Single Family,4578 N ROUND TOP DR,LOS ANGELES,CA,90065,13,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,SAFEGUARD PROPERTIES,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.23061,34.1351,POINT (-118.23061 34.1351)
4431002010,08/24/2022,Single Family,1282 N CALLE DE SEVILLA,LOS ANGELES,CA,90272,11,Luther Burbank Savings,Chris Espina,707-523-5967,Sand Castle Field Services,Michelle Bellante,165  E Bishops WAY 150 Brookfield WI 53005,262-754-6006,-118.55888,34.06913,POINT (-118.55888 34.06913)
6020008025,03/17/2022,Single Family,921 1/2 W 76TH ST,LOS ANGELES,CA,90044,8,CARRINGTON MORTGAGE SERVICES LLC,MORTGAGE SERVICES,866-563-1100,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.29002,33.97084,POINT (-118.29002 33.97084)
7411005087,05/25/2022,Single Family,26139 S FRAMPTON AVE,LOS ANGELES,CA,90710,15,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.3004,33.78492,POINT (-118.3004 33.78492)
5571004011,05/25/2022,Vacant Residential,2507 N NICHOLS CANYON ROAD,LOS ANGELES,CA,90046,4,Witkin & Associates LLC,Richard Witkin,818-845-4000,NULL,NULL,,NULL,-118.35925,34.11555,POINT (-118.35925 34.11555)
5124013015,01/04/2022,Multi-Family,917 W 23RD ST,LOS ANGELES,CA,90007,1,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Trevethan Aaron,27071   cabot RD  LAGUNA HILLS CA 92653,949-612-0342,-118.28019,34.03364,POINT (-118.28019 34.03364)
5479005028,01/03/2022,Single Family,1900 N SILVERWOOD LANE,LOS ANGELES,CA,90042,14,Fay Servicing LLC - Eric Moore,Eric Moore,877-338-3791,MCS,Code Compliance,350   HIGHLAND DR  LEWISVILLE TX 75067,813-387-1100,-118.19897,34.128,POINT (-118.19897 34.128)
6057007056,01/13/2022,Single Family,2100 W 96TH ST,LOS ANGELES,CA,90047,8,"PS FUNDING, INC",KIMBERLY STAPLES,213-267-0649,"PS Funding, Inc",Casey Corcoran,2121   Park PL  El Segundo CA 90245,323-687-6238,-118.31564,33.94898,POINT (-118.31564 33.94898)
2321025023,01/07/2022,Single Family,6838 N LAUREL CANYON BLVD,LOS ANGELES,CA,91605,2,CARRINGTON MORTGAGE SERVICES LLC,MORTGAGE SERVICES,866-563-1100,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.3963,34.19512,POINT (-118.3963 34.19512)
5085012001,04/01/2022,Single Family,5558 W EDGEWOOD PL,LOS ANGELES,CA,90019,5,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   HIGHLAND DR  LEWISVILLE TX 75067,813-387-1100,-118.35397,34.05438,POINT (-118.35397 34.05438)
2783001017,01/10/2022,Single Family,8368 N AURA AVE,LOS ANGELES,CA,91324,12,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.55452,34.22231,POINT (-118.55452 34.22231)
2258015004,01/05/2022,Single Family,5019 1/2 N GENESTA AVE,LOS ANGELES,CA,91316,4,Selene Finance LP,Eric Moore,877-338-3791,MCS,Code Compliance,350   HIGHLAND DR  LEWISVILLE TX 75067,813-387-1100,-118.5034,34.16234,POINT (-118.5034 34.16234)
5018021018,06/29/2022,Multi-Family,605 W 51ST ST,LOS ANGELES,CA,90037,9,WELL FARGO BANK N.A,Brock Nekvinda,877-617-5274,WELL FARGO BANK NA,Brock Nekvinda,232  E 2ND ST STE G LOS ANGELES CA 90012,877-617-5274,-118.28432,33.99658,POINT (-118.28432 33.99658)
5178021009,01/04/2022,Single Family,438 N SLOAT ST,LOS ANGELES,CA,90063,14,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,edward zubia,Edward Zubia,3540   willshire BLVD  los angeles CA 90010,213-804-7437,-118.19784,34.04375,POINT (-118.19784 34.04375)
2503021024,08/17/2022,Single Family,13851 W LAKESIDE ST,LOS ANGELES,CA,91342,7,M&T Bank,Eric Moore,877-338-3791,Safeguard,Code Compliance,7887   Safeguard Cir  Valley View OH 44125,800-852-8306,-118.43525,34.32344,POINT (-118.43525 34.32344)
2557003014,06/28/2022,Single Family,7720 W KYLE ST,LOS ANGELES,CA,91042,7,LoanCare LLC,Eric Moore,877-338-3791,Guardian Asset Management,Vendor Management,2021   Hartel ST  Leviitown PA 19057,888-872-9094,-118.30089,34.26458,POINT (-118.30089 34.26458)
2316007002,01/21/2022,Single Family,7752 N KRAFT AVE,LOS ANGELES,CA,91605,6,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Computershare,Computershare Management,6200  S Quebec ST  Greenwood Village CO 80111,303-518-3327,-118.38001,34.21174,POINT (-118.38001 34.21174)
2528014048,03/15/2022,Single Family,10145 N BROMONT AVE,LOS ANGELES,CA,91352,7,"Mr. Cooper/Nationstar Mortgage, LLC.",Mr. Cooper,888-456-0714,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,333-205-7447,-118.37766,34.25455,POINT (-118.37766 34.25455)
2621001014,01/04/2022,Single Family,9834 N VENA AVE,LOS ANGELES,CA,91331,6,Freedom Mortgage,Jared Huffman,855-690-5900,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.42903,34.24919,POINT (-118.42903 34.24919)
2210016020,01/03/2022,Single Family,8054 N NATICK AVE,LOS ANGELES,CA,91402,6,Fay Servicing LLC,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.45429,34.21769,POINT (-118.45429 34.21769)
5567001026,01/24/2022,Single Family,2111 N UPPER KRESS ST,LOS ANGELES,CA,90046,4,De Witte Mortgage Investors Fund,Chris Powell,805-568-1660,Vanguard Hard Money,Eric Allee,1524  S Lovering AVE  Fullerton CA 92833,805-568-1660,-118.37807,34.10908,POINT (-118.37807 34.10908)
2533005014,01/28/2022,Single Family,13038 W WEIDNER ST,LOS ANGELES,CA,91331,7,WELL FARGO BANK N.A,Brock Nekvinda,877-617-5274,Greenfield Property LLC,MCS LLC,4033   Stable Drive   Palmdale CA 93552,866-563-1100,-118.41672,34.27725,POINT (-118.41672 34.27725)
5078032018,02/02/2022,Multi-Family,1234 S KENMORE AVE,LOS ANGELES,CA,90006,1,Lima One Capital LLC,Eric Moore,877-338-3791,SERVICELINK,CLIENT SERVICES,10385   Westmoor Dr 100 Westminster CO 80021,877-847-8544,-118.2967,34.04804,POINT (-118.2967 34.04804)
5175004013,07/27/2022,Multi-Family,2315 E CITY VIEW AVE,LOS ANGELES,CA,90033,14,DAN BOCHNER,DAN BOCHNER,310-472-6161,LRES Corp.,Kathy Golden,765   The City Drive South   Orange CA 92868,714-520-5737,-118.206,34.05108,POINT (-118.206 34.05108)
2604039011,02/14/2022,Multi-Family,12567 N TELFAIR AVE,SYLMAR,CA,91342,7,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.46525,34.29854,POINT (-118.46525 34.29854)
5536017012,06/28/2022,Single Family,1055 N WILTON PL,LOS ANGELES,CA,90038,13,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.31368,34.08974,POINT (-118.31368 34.08974)
5053020029,07/07/2022,Multi-Family,2630 S LA SALLE AVE 1-10,LOS ANGELES,CA,90018,8,Fallbrook Financial Services,Brandt Blanken,818-657-6100,ZVN Properties Inc,Arek Helcberger,957  E Cherry ST  Canal Fulton OH 44614,330-854-5890,-118.30521,34.03166,POINT (-118.30521 34.03166)
2701063245,04/26/2022,Single Family,20069 W PIENZA LANE,LOS ANGELES,CA,91326,12,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Computershare,Computershare Management,6200  S Quebec ST  Greenwood Village CO 80111,303-518-3327,-118.57383,34.28025,POINT (-118.57383 34.28025)
6015002006,02/04/2022,Single Family,1538 W 64TH ST,LOS ANGELES,CA,90047,8,PHH Mortgage,Shelly Martinez,346-471-3551,KMC Landscaping Services,Ryan Hague,42263  SW 50th ST  Lancaster CA 93536,215-422-3914,-118.3037,33.98126,POINT (-118.3037 33.98126)
2532010067,01/07/2022,Single Family,12345 W STONEGATE RD,LOS ANGELES,CA,91331,7,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,edward zubia,Edward Zubia,3540   willshire BLVD  los angeles CA 90010,213-804-7437,-118.40066,34.28041,POINT (-118.40066 34.28041)
2182018011,01/02/2022,Single Family,4567 N WHITE OAK PL,LOS ANGELES,CA,91316,4,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,SAFEGUARD PROPERTEIS,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.52201,34.15347,POINT (-118.52201 34.15347)
4260028023,05/12/2022,Single Family,11739 W TENNESSEE AVE,LOS ANGELES,CA,90064,11,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.44745,34.03189,POINT (-118.44745 34.03189)
2004021037,01/05/2022,Single Family,22221 W TIOGA PL,LOS ANGELES,CA,91304,12,Freedom Mortgage,Jared Huffman,855-690-5900,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.61194,34.22831,POINT (-118.61194 34.22831)
5101025027,02/10/2022,Single Family,239 W 58TH ST 1-4,LOS ANGELES,CA,90037,9,Security National Servicing Corp,Eric Moore,877-338-3791,First Allegiance,John Concepcion,473   Broadway 5th Fl AVE  Bayonne NJ 7002,201-746-8715,-118.27746,33.98984,POINT (-118.27746 33.98984)
7469005006,03/30/2022,Single Family,856 W 29TH ST,SAN PEDRO,CA,90731,15,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,EDWARD ZUBIA,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,818-406-3611,-118.29708,33.71918,POINT (-118.29708 33.71918)
2568004048,06/30/2022,Single Family,10015 N MARCUS AVE,LOS ANGELES,CA,91042,7,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,EDWARD ZUBIA,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,818-406-3611,-118.28199,34.25036,POINT (-118.28199 34.25036)
2355006057,08/31/2022,Single Family,11839 W OTSEGO ST,LOS ANGELES,CA,91607,2,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,The Herac Group,Torres Rose,11030   Arrow RE  RANCHOCUCAMONGA CA 91730,949-381-3495,-118.39142,34.16317,POINT (-118.39142 34.16317)
2280002027,02/10/2022,Single Family,15488 W DEL GADO DR,LOS ANGELES,CA,91403,4,Hillfoot LLC,Avi Shlanger,310-280-0331,LAApartments,Walter Castro,10401   VENICE  BLVD 711 Los Angeles CA 90034,310-280-0331,-118.47186,34.14498,POINT (-118.47186 34.14498)
5070008014,01/03/2022,Multi-Family,1270 S MEADOWBROOK AVE,LOS ANGELES,CA,90019,10,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,Advantage Conveyance,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.34904,34.05115,POINT (-118.34904 34.05115)
2690023143,03/23/2022,Single Family,17105  ROSCOE BLVD,NORTHRIDGE,CA,99999,12,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.5041,34.22162,POINT (-118.5041 34.22162)
5528003130,06/21/2022,Single Family,750 N KINGS,LOS ANGELES,CA,90069,5,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Cyprexx - Physical Address,Code Compliance,525   Grand Regency BLVD  Brandon FL 33510,813-387-5891,-118.37159,34.08469,POINT (-118.37159 34.08469)
5422012016,09/23/2022,Vacant Residential,2231 N FAIR OAK VIEW TER,LOS ANGELES,CA,90039,13,"SoCal Vestors, LLC",William Catron,562-754-7680,NULL,NULL,,NULL,-118.25678,34.09433,POINT (-118.25678 34.09433)
2047003020,08/23/2022,Single Family,5114 N BODA PL,LOS ANGELES,CA,91367,3,"DOVENMUEHLE MORTGAGE, INC.",PROPERTY PRESERVATION,847-550-7410,EDWARD ZUBIA  no unit number,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,-118.64119,34.16329,POINT (-118.64119 34.16329)
5022004024,01/04/2022,Single Family,1828 W 41ST PL,LOS ANGELES,CA,90062,8,PHH Mortgage Corporation,Marquita Bullock,561-682-7547,Guardian Asset Management,Colleen McEntee,2300  E Lincoln HWY  Langhorne PA 19047,267-825-0283,-118.31237,34.00803,POINT (-118.31237 34.00803)
6039015007,03/25/2022,Single Family,649 1/2 W 92ND ST,LOS ANGELES,CA,90044,8,United Capital Group,Karen Le,909-538-6289,Anchor Loans LP,Anthony Martinez,1   Baxter WAY 220 Thousand Oaks CA 91362,310-395-0010,-118.2864,33.95292,POINT (-118.2864 33.95292)
5080011021,09/08/2022,Single Family,3021 W 12TH PL,LOS ANGELES,CA,90006,10,Gilbert Saucedo,Gilbert Saucedo,626-377-7775,BAC Field Services Corporation,Resolution Center,30870   Russell Ranch RD  Westlake Village CA 91362,866-515-9759,-118.30687,34.04822,POINT (-118.30687 34.04822)
2822015001,08/22/2022,Single Family,19665 W SINGING HILLS DR,LOS ANGELES,CA,91326,12,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.56057,34.28088,POINT (-118.56057 34.28088)
5081019014,04/14/2022,Single Family,1101 S ARLINGTON AVE,OLD APN,CA,99999,10,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.31767,34.04965,POINT (-118.31767 34.04965)
2321024006,08/09/2022,Multi-Family,6821 N BEN AVE,NORTH HOLLYWOOD,CA,91605,2,Axos Bank,Michelle Barisdale,877-351-2265,AXOS BANK,MICHELLE BARISDALE,4350   La Jolla Village DR  San Diego CA 92122,877-351-2265,-118.39444,34.19474,POINT (-118.39444 34.19474)
6052016033,02/14/2022,Single Family,207 E CENTURY BLVD,LOS ANGELES,CA,90003,8,LoanCare,ERIC MOORE,877-338-3791,ServiceLink,Client Services,10632   Westmoor DR 100 Westminster CO 80021,877-847-8612,-118.27146,33.94575,POINT (-118.27146 33.94575)
