,Registered Date
354,05/2014
355,08/2014
356,01/2014
357,01/2014
358,11/2014
359,11/2014
360,12/2014
361,07/2014
362,10/2014
363,10/2014
364,06/2014
365,04/2014
366,01/2014
367,03/2014
368,05/2014
369,03/2014
370,11/2014
371,03/2014
372,03/2014
373,01/2014
374,11/2014
375,01/2014
376,03/2014
377,01/2014
378,11/2014
379,07/2014
380,05/2014
381,11/2014
382,09/2014
383,06/2014
384,12/2014
385,01/2014
386,04/2014
387,01/2014
388,04/2014
389,10/2014
390,12/2014
391,11/2014
392,12/2014
393,10/2014
394,04/2014
395,02/2014
396,06/2014
397,05/2014
398,10/2014
399,05/2014
400,11/2014
401,10/2014
402,01/2014
403,09/2014
404,12/2014
405,08/2014
406,03/2014
407,01/2014
408,11/2014
409,06/2014
410,08/2014
411,03/2014
412,12/2014
413,08/2014
414,12/2014
415,09/2014
416,05/2014
417,06/2014
418,05/2014
419,12/2014
420,07/2014
421,03/2014
422,03/2014
423,01/2014
424,09/2014
425,09/2014
426,01/2014
427,02/2014
428,12/2014
429,11/2014
430,06/2014
431,08/2014
432,01/2014
433,01/2014
434,11/2014
435,02/2014
436,01/2014
437,06/2014
438,08/2014
439,01/2014
440,01/2014
441,01/2014
442,01/2014
443,03/2014
444,09/2014
445,01/2014
446,01/2014
447,01/2014
448,03/2014
449,11/2014
450,03/2014
451,01/2014
452,09/2014
453,02/2014
454,10/2014
455,07/2014
456,11/2014
457,04/2014
458,08/2014
459,11/2014
460,12/2014
461,07/2014
462,11/2014
463,11/2014
464,04/2014
465,07/2014
466,07/2014
467,05/2014
468,02/2014
469,11/2014
470,01/2014
471,12/2014
472,12/2014
473,02/2014
474,06/2014
475,12/2014
476,01/2014
477,06/2014
478,11/2014
479,01/2014
480,01/2014
481,08/2014
482,02/2014
483,08/2014
484,01/2014
485,10/2014
486,02/2014
487,11/2014
488,11/2014
489,06/2014
490,11/2014
491,08/2014
492,05/2014
493,11/2014
494,04/2014
495,05/2014
496,10/2014
497,02/2014
498,05/2014
499,01/2014
500,07/2014
501,07/2014
502,07/2014
503,10/2014
504,02/2014
505,02/2014
506,07/2014
507,01/2014
508,06/2014
509,06/2014
510,01/2014
511,01/2014
512,03/2014
513,01/2014
514,03/2014
515,12/2014
516,11/2014
517,10/2014
518,12/2014
519,11/2014
520,01/2014
521,06/2014
522,11/2014
523,09/2014
524,09/2014
525,05/2014
526,03/2014
527,10/2014
528,12/2014
529,06/2014
530,01/2014
531,09/2014
532,09/2014
533,05/2014
534,01/2014
535,02/2014
536,11/2014
537,12/2014
538,04/2014
539,03/2014
540,03/2014
541,01/2014
542,04/2014
543,08/2014
544,04/2014
545,10/2014
546,11/2014
547,03/2014
548,01/2014
549,01/2014
550,10/2014
551,02/2014
552,12/2014
553,01/2014
554,10/2014
555,06/2014
556,09/2014
557,02/2014
558,01/2014
559,01/2014
560,01/2014
561,08/2014
562,05/2014
563,06/2014
564,02/2014
565,04/2014
566,01/2014
567,01/2014
568,06/2014
569,05/2014
570,11/2014
571,08/2014
572,11/2014
573,11/2014
574,02/2014
575,12/2014
576,12/2014
577,01/2014
578,08/2014
579,03/2014
580,12/2014
581,01/2014
582,10/2014
583,10/2014
584,12/2014
585,01/2014
586,03/2014
587,03/2014
588,11/2014
589,07/2014
590,09/2014
591,01/2014
592,01/2014
593,11/2014
594,11/2014
595,09/2014
596,12/2014
597,02/2014
598,04/2014
599,04/2014
600,10/2014
601,12/2014
602,03/2014
603,01/2014
604,04/2014
605,01/2014
606,11/2014
607,08/2014
608,03/2014
609,04/2014
610,05/2014
611,02/2014
612,07/2014
613,01/2014
614,12/2014
615,12/2014
616,03/2014
617,03/2014
618,09/2014
619,01/2014
620,03/2014
621,12/2014
622,01/2014
623,09/2014
624,01/2014
625,04/2014
626,01/2014
627,08/2014
628,07/2014
629,07/2014
630,08/2014
631,01/2014
632,07/2014
633,05/2014
634,09/2014
635,04/2014
636,01/2014
637,12/2014
638,11/2014
639,05/2014
640,01/2014
641,01/2014
642,08/2014
643,12/2014
644,01/2014
645,03/2014
646,07/2014
647,01/2014
648,08/2014
649,02/2014
650,07/2014
651,05/2014
652,12/2014
653,05/2014
654,11/2014
655,11/2014
656,11/2014
657,12/2014
658,10/2014
659,01/2014
660,02/2014
661,06/2014
662,09/2014
663,10/2014
664,12/2014
665,11/2014
666,01/2014
667,05/2014
668,04/2014
669,01/2014
670,01/2014
671,06/2014
672,12/2014
673,05/2014
674,11/2014
675,12/2014
676,09/2014
677,01/2014
678,12/2014
679,11/2014
680,01/2014
681,08/2014
682,11/2014
683,02/2014
684,11/2014
685,07/2014
686,01/2014
687,10/2014
688,12/2014
689,05/2014
690,05/2014
691,11/2014
692,07/2014
693,05/2014
694,04/2014
695,04/2014
696,06/2014
697,11/2014
698,07/2014
699,12/2014
700,01/2014
701,10/2014
702,04/2014
703,11/2014
704,12/2014
705,08/2014
706,01/2014
707,01/2014
708,10/2014
709,08/2014
710,09/2014
711,12/2014
712,09/2014
713,09/2014
714,01/2014
715,07/2014
716,07/2014
717,10/2014
718,12/2014
719,10/2014
720,01/2014
721,01/2014
722,02/2014
723,09/2014
724,05/2014
725,09/2014
726,08/2014
727,12/2014
728,12/2014
729,03/2014
730,11/2014
731,12/2014
732,01/2014
733,03/2014
734,03/2014
735,11/2014
736,02/2014
737,12/2014
738,01/2014
739,02/2014
740,02/2014
741,05/2014
742,01/2014
743,01/2014
744,12/2014
745,09/2014
746,03/2014
747,12/2014
748,12/2014
749,08/2014
750,09/2014
751,04/2014
752,01/2014
753,04/2014
754,11/2014
755,04/2014
756,07/2014
757,03/2014
758,12/2014
759,09/2014
760,01/2014
761,10/2014
762,01/2014
763,11/2014
764,03/2014
765,02/2014
766,02/2014
767,08/2014
768,08/2014
769,06/2014
770,11/2014
771,12/2014
772,01/2014
773,01/2014
774,02/2014
775,12/2014
776,04/2014
777,08/2014
778,07/2014
779,06/2014
780,01/2014
781,05/2014
782,01/2014
783,12/2014
784,01/2014
785,01/2014
786,11/2014
787,02/2014
788,05/2014
789,12/2014
790,03/2014
791,12/2014
792,12/2014
793,10/2014
794,03/2014
795,07/2014
796,11/2014
797,05/2014
798,08/2014
799,05/2014
800,05/2014
801,01/2014
802,11/2014
803,11/2014
804,03/2014
805,07/2014
806,09/2014
807,09/2014
808,11/2014
809,11/2014
810,12/2014
811,11/2014
812,01/2014
813,02/2014
814,07/2014
815,03/2014
816,07/2014
817,12/2014
818,06/2014
819,02/2014
820,11/2014
821,03/2014
822,08/2014
823,05/2014
824,08/2014
825,02/2014
826,02/2014
827,12/2014
828,12/2014
829,11/2014
830,06/2014
831,01/2014
832,02/2014
833,03/2014
834,03/2014
835,03/2014
836,08/2014
837,09/2014
838,01/2014
839,03/2014
840,02/2014
841,02/2014
842,11/2014
843,01/2014
844,09/2014
845,03/2014
846,01/2014
847,06/2014
848,08/2014
849,09/2014
850,02/2014
851,11/2014
852,08/2014
853,02/2014
854,06/2014
855,01/2014
856,01/2014
857,01/2014
858,08/2014
859,06/2014
860,05/2014
861,11/2014
862,12/2014
863,01/2014
864,12/2014
865,03/2014
866,03/2014
867,12/2014
868,03/2014
869,10/2014
870,09/2014
871,01/2014
872,04/2014
873,05/2014
874,12/2014
875,12/2014
876,01/2014
877,01/2014
878,10/2014
879,11/2014
880,08/2014
881,01/2014
882,06/2014
883,07/2014
884,01/2014
885,07/2014
886,05/2014
887,05/2014
888,10/2014
889,06/2014
890,12/2014
891,11/2014
892,11/2014
893,01/2014
894,01/2014
895,05/2014
896,12/2014
897,03/2014
898,07/2014
899,03/2014
900,11/2014
901,03/2014
902,03/2014
903,03/2014
904,07/2014
905,11/2014
906,08/2014
907,08/2014
908,01/2014
909,06/2014
910,01/2014
911,11/2014
912,06/2014
913,01/2014
914,12/2014
915,06/2014
916,06/2014
917,01/2014
918,02/2014
919,09/2014
920,12/2014
921,03/2014
922,11/2014
923,01/2014
924,02/2014
925,10/2014
926,05/2014
927,12/2014
928,08/2014
929,02/2014
930,06/2014
931,01/2014
932,06/2014
933,09/2014
934,10/2014
935,05/2014
936,03/2014
937,12/2014
938,11/2014
939,10/2014
940,01/2014
941,01/2014
942,12/2014
943,03/2014
944,06/2014
945,01/2014
946,12/2014
947,12/2014
948,12/2014
949,10/2014
950,10/2014
951,12/2014
952,11/2014
953,06/2014
954,05/2014
955,10/2014
956,09/2014
957,12/2014
958,05/2014
959,01/2014
960,03/2014
961,01/2014
962,01/2014
963,08/2014
964,02/2014
965,01/2014
966,06/2014
967,01/2014
968,01/2014
969,02/2014
970,01/2014
971,07/2014
972,11/2014
973,05/2014
974,05/2014
975,03/2014
976,03/2014
977,11/2014
978,01/2014
979,10/2014
980,05/2014
981,01/2014
982,04/2014
983,07/2014
984,03/2014
985,05/2014
986,10/2014
987,06/2014
988,05/2014
989,02/2014
990,01/2014
991,05/2014
992,03/2014
993,01/2014
994,06/2014
995,08/2014
996,02/2014
997,01/2014
998,12/2014
999,12/2014
1000,07/2014
1001,08/2014
1002,01/2014
1003,01/2014
1004,01/2014
1005,03/2014
1006,11/2014
1007,03/2014
1008,01/2014
1009,12/2014
1010,06/2014
1011,01/2014
1012,03/2014
1013,08/2014
1014,06/2014
1015,10/2014
1016,01/2014
1017,01/2014
1018,11/2014
1019,05/2014
1020,07/2014
1021,10/2014
1022,05/2014
1023,11/2014
1024,11/2014
1025,08/2014
1026,02/2014
1027,12/2014
1028,04/2014
1029,10/2014
1030,11/2014
1031,01/2014
1032,03/2014
1033,01/2014
1034,09/2014
1035,06/2014
1036,11/2014
1037,11/2014
1038,11/2014
1039,05/2014
1040,01/2014
1041,01/2014
1042,01/2014
1043,09/2014
1044,01/2014
1045,01/2014
1046,01/2014
1047,12/2014
1048,05/2014
1049,03/2014
1050,05/2014
1051,08/2014
1052,01/2014
1053,12/2014
1054,04/2014
1055,01/2014
1056,12/2014
1057,11/2014
1058,01/2014
1059,10/2014
1060,06/2014
1061,06/2014
1062,04/2014
1063,10/2014
1064,07/2014
1065,01/2014
1066,02/2014
1067,08/2014
1068,11/2014
1069,10/2014
1070,03/2014
1071,12/2014
1072,07/2014
1073,11/2014
1074,11/2014
1075,05/2014
1076,10/2014
1077,01/2014
1078,01/2014
1079,10/2014
1080,02/2014
1081,12/2014
1082,06/2014
1083,01/2014
1084,01/2014
1085,03/2014
1086,03/2014
1087,09/2014
1088,01/2014
1089,05/2014
1090,03/2014
1091,12/2014
1092,05/2014
1093,10/2014
1094,07/2014
1095,01/2014
1096,03/2014
1097,07/2014
1098,12/2014
1099,09/2014
1100,01/2014
1101,05/2014
1102,08/2014
1103,05/2014
1104,07/2014
1105,04/2014
1106,12/2014
1107,06/2014
1108,07/2014
1109,01/2014
1110,01/2014
1111,11/2014
1112,09/2014
1113,09/2014
1114,07/2014
1115,01/2014
1116,01/2014
1117,11/2014
1118,10/2014
1119,06/2014
1120,03/2014
1121,01/2014
1122,03/2014
1123,11/2014
1124,01/2014
1125,11/2014
1126,08/2014
1127,07/2014
1128,09/2014
1129,11/2014
1130,02/2014
1131,01/2014
1132,01/2014
1133,12/2014
1134,05/2014
1135,12/2014
1136,08/2014
1137,12/2014
1138,01/2014
1139,01/2014
1140,03/2014
1141,01/2014
1142,04/2014
1143,05/2014
1144,11/2014
1145,02/2014
1146,02/2014
1147,03/2014
1148,01/2014
1149,05/2014
1150,12/2014
1151,01/2014
1152,12/2014
1153,12/2014
1154,03/2014
1155,01/2014
1156,08/2014
1157,01/2014
1158,02/2014
1159,02/2014
1160,01/2014
1161,12/2014
1162,02/2014
1163,11/2014
1164,01/2014
1165,01/2014
1166,12/2014
1167,12/2014
1168,10/2014
1169,10/2014
1170,11/2014
1171,05/2014
1172,05/2014
1173,07/2014
1174,02/2014
1175,05/2014
1176,12/2014
1177,02/2014
1178,03/2014
1179,04/2014
1180,11/2014
1181,03/2014
1182,08/2014
1183,06/2014
1184,12/2014
1185,01/2014
1186,11/2014
1187,12/2014
1188,11/2014
1189,01/2014
1190,03/2014
1191,03/2014
1192,09/2014
1193,12/2014
1194,09/2014
1195,12/2014
1196,09/2014
1197,03/2014
1198,03/2014
1199,05/2014
1200,09/2014
1201,09/2014
1202,01/2014
1203,01/2014
1204,02/2014
1205,11/2014
1206,07/2014
1207,01/2014
1208,03/2014
1209,05/2014
1210,05/2014
1211,01/2014
1212,06/2014
1213,05/2014
1214,12/2014
1215,07/2014
1216,12/2014
1217,11/2014
1218,04/2014
1219,12/2014
1220,06/2014
1221,11/2014
1222,02/2014
1223,10/2014
1224,12/2014
1225,03/2014
1226,11/2014
1227,11/2014
1228,06/2014
1229,10/2014
1230,01/2014
1231,11/2014
1232,11/2014
1233,11/2014
1234,12/2014
1235,01/2014
1236,03/2014
1237,01/2014
1238,01/2014
1239,01/2014
1240,09/2014
1241,11/2014
1242,11/2014
1243,03/2014
1244,02/2014
1245,02/2014
1246,08/2014
1247,03/2014
1248,11/2014
1249,04/2014
1250,01/2014
1251,03/2014
1252,01/2014
1253,07/2014
1254,01/2014
1255,11/2014
1256,06/2014
1257,06/2014
1258,12/2014
1259,06/2014
1260,01/2014
1261,01/2014
1262,06/2014
1263,12/2014
1264,11/2014
1265,08/2014
1266,11/2014
1267,11/2014
1268,12/2014
1269,12/2014
1270,08/2014
1271,12/2014
1272,12/2014
1273,12/2014
1274,09/2014
1275,06/2014
1276,02/2014
1277,12/2014
1278,11/2014
1279,09/2014
1280,12/2014
1281,05/2014
1282,11/2014
1283,10/2014
1284,05/2014
1285,05/2014
1286,08/2014
1287,02/2014
1288,07/2014
1289,11/2014
1290,11/2014
1291,11/2014
1292,01/2014
1293,12/2014
1294,02/2014
1295,11/2014
1296,02/2014
1297,04/2014
1298,06/2014
1299,07/2014
1300,01/2014
1301,01/2014
1302,03/2014
1303,12/2014
1304,05/2014
1305,06/2014
1306,02/2014
1307,07/2014
1308,09/2014
1309,03/2014
1310,03/2014
1311,05/2014
1312,10/2014
1313,01/2014
1314,10/2014
1315,05/2014
1316,12/2014
1317,09/2014
1318,10/2014
1319,07/2014
1320,11/2014
1321,01/2014
1322,05/2014
1323,10/2014
1324,05/2014
1325,01/2014
1326,03/2014
1327,11/2014
1328,06/2014
1329,12/2014
1330,11/2014
1331,03/2014
1332,07/2014
1333,03/2014
1334,11/2014
1335,01/2014
1336,03/2014
1337,08/2014
1338,10/2014
1339,01/2014
1340,01/2014
1341,12/2014
1342,11/2014
1343,10/2014
1344,09/2014
1345,05/2014
1346,01/2014
1347,01/2014
1348,03/2014
1349,07/2014
1350,06/2014
1351,03/2014
1352,01/2014
1353,10/2014
1354,04/2014
1355,05/2014
1356,01/2014
1357,07/2014
1358,12/2014
1359,06/2014
1360,05/2014
1361,01/2014
1362,11/2014
1363,12/2014
1364,01/2014
1365,11/2014
1366,02/2014
1367,10/2014
1368,09/2014
1369,10/2014
1370,03/2014
1371,04/2014
1372,01/2014
1373,01/2014
1374,08/2014
1375,07/2014
1376,01/2014
1377,03/2014
1378,02/2014
1379,01/2014
1380,07/2014
1381,02/2014
1382,12/2014
1383,02/2014
1384,01/2014
1385,06/2014
1386,12/2014
1387,09/2014
1388,11/2014
1389,09/2014
1390,11/2014
1391,05/2014
1392,06/2014
1393,08/2014
1394,10/2014
1395,03/2014
1396,01/2014
1397,02/2014
1398,10/2014
1399,07/2014
1400,11/2014
1401,08/2014
1402,12/2014
1403,03/2014
1404,01/2014
1405,02/2014
1406,01/2014
1407,01/2014
1408,11/2014
1409,01/2014
1410,11/2014
1411,09/2014
1412,12/2014
1413,01/2014
1414,10/2014
1415,11/2014
1416,02/2014
1417,12/2014
1418,01/2014
1419,05/2014
1420,06/2014
1421,05/2014
1422,01/2014
1423,10/2014
1424,12/2014
1425,11/2014
1426,02/2014
1427,03/2014
1428,05/2014
1429,11/2014
1430,07/2014
1431,07/2014
1432,11/2014
1433,05/2014
1434,05/2014
1435,09/2014
1436,06/2014
1437,07/2014
1438,10/2014
1439,04/2014
1440,02/2014
1441,11/2014
1442,07/2014
1443,01/2014
1444,01/2014
1445,09/2014
1446,11/2014
1447,08/2014
1448,10/2014
1449,04/2014
1450,11/2014
1451,05/2014
1452,05/2014
1453,11/2014
1454,11/2014
1455,10/2014
1456,12/2014
1457,07/2014
1458,03/2014
1459,10/2014
1460,02/2014
1461,04/2014
1462,10/2014
1463,10/2014
1464,10/2014
1465,11/2014
1466,11/2014
1467,11/2014
1468,08/2014
1469,08/2014
1470,02/2014
1471,01/2014
1472,09/2014
1473,09/2014
1474,04/2014
1475,12/2014
1476,10/2014
1477,10/2014
1478,01/2014
1479,11/2014
1480,04/2014
1481,03/2014
1482,07/2014
1483,12/2014
1484,05/2014
1485,11/2014
1486,12/2014
1487,11/2014
1488,04/2014
1489,01/2014
1490,05/2014
1491,03/2014
1492,01/2014
1493,11/2014
1494,10/2014
1495,11/2014
1496,01/2014
1497,01/2014
1498,06/2014
1499,10/2014
1500,11/2014
1501,05/2014
1502,06/2014
1503,11/2014
1504,10/2014
1505,04/2014
1506,04/2014
1507,12/2014
1508,11/2014
1509,01/2014
1510,10/2014
1511,01/2014
1512,01/2014
1513,06/2014
1514,12/2014
1515,03/2014
1516,10/2014
1517,05/2014
1518,09/2014
1519,11/2014
1520,02/2014
1521,01/2014
1522,09/2014
1523,01/2014
1524,06/2014
1525,07/2014
1526,03/2014
1527,03/2014
1528,04/2014
1529,04/2014
1530,12/2014
1531,02/2014
1532,04/2014
1533,12/2014
1534,11/2014
1535,03/2014
1536,12/2014
1537,12/2014
1538,08/2014
1539,06/2014
1540,01/2014
1541,01/2014
1542,02/2014
1543,06/2014
1544,01/2014
1545,09/2014
1546,05/2014
1547,03/2014
1548,10/2014
1549,12/2014
1550,10/2014
1551,12/2014
1552,03/2014
1553,01/2014
1554,08/2014
1555,08/2014
1556,02/2014
1557,11/2014
1558,05/2014
1559,05/2014
1560,01/2014
1561,10/2014
1562,09/2014
1563,05/2014
1564,03/2014
1565,11/2014
1566,07/2014
1567,03/2014
1568,11/2014
1569,01/2014
1570,01/2014
1571,01/2014
1572,11/2014
1573,03/2014
1574,01/2014
1575,10/2014
1576,06/2014
1577,06/2014
1578,03/2014
1579,01/2014
1580,01/2014
1581,01/2014
1582,01/2014
1583,04/2014
1584,07/2014
1585,08/2014
1586,11/2014
1587,06/2014
1588,03/2014
1589,06/2014
1590,11/2014
1591,05/2014
1592,07/2014
1593,05/2014
1594,10/2014
1595,11/2014
1596,01/2014
1597,08/2014
1598,05/2014
1599,05/2014
1600,02/2014
1601,10/2014
1602,05/2014
1603,10/2014
1604,09/2014
1605,02/2014
1606,11/2014
1607,11/2014
1608,06/2014
1609,12/2014
1610,09/2014
1611,12/2014
1612,12/2014
1613,07/2014
1614,06/2014
1615,08/2014
1616,01/2014
1617,03/2014
1618,12/2014
1619,09/2014
1620,01/2014
1621,03/2014
1622,06/2014
1623,01/2014
1624,05/2014
1625,02/2014
1626,01/2014
1627,09/2014
1628,02/2014
1629,01/2014
1630,02/2014
1631,06/2014
1632,02/2014
1633,04/2014
1634,08/2014
1635,09/2014
1636,01/2014
1637,01/2014
1638,10/2014
1639,09/2014
1640,09/2014
1641,09/2014
1642,01/2014
1643,10/2014
1644,01/2014
1645,02/2014
1646,07/2014
1647,04/2014
1648,12/2014
1649,01/2014
1650,05/2014
1651,08/2014
1652,06/2014
1653,11/2014
1654,01/2014
1655,12/2014
1656,11/2014
1657,02/2014
1658,10/2014
1659,01/2014
1660,08/2014
1661,10/2014
1662,01/2014
1663,05/2014
1664,09/2014
1665,09/2014
1666,10/2014
1667,08/2014
1668,11/2014
1669,03/2014
1670,01/2014
1671,11/2014
1672,01/2014
1673,01/2014
1674,09/2014
1675,11/2014
1676,01/2014
1677,11/2014
1678,11/2014
1679,08/2014
1680,03/2014
1681,12/2014
1682,10/2014
1683,03/2014
1684,05/2014
1685,06/2014
1686,12/2014
1687,10/2014
1688,04/2014
1689,06/2014
1690,01/2014
1691,12/2014
1692,12/2014
1693,07/2014
1694,11/2014
1695,08/2014
1696,12/2014
1697,09/2014
1698,10/2014
1699,12/2014
1700,05/2014
1701,04/2014
1702,01/2014
1703,03/2014
1704,08/2014
1705,01/2014
1706,11/2014
1707,12/2014
1708,06/2014
1709,04/2014
1710,02/2014
1711,05/2014
1712,12/2014
1713,04/2014
1714,07/2014
1715,05/2014
1716,04/2014
1717,10/2014
1718,04/2014
1719,02/2014
1720,11/2014
1721,10/2014
1722,11/2014
1723,06/2014
1724,10/2014
1725,08/2014
1726,10/2014
1727,07/2014
1728,01/2014
1729,04/2014
1730,09/2014
1731,06/2014
1732,09/2014
1733,12/2014
1734,01/2014
1735,11/2014
1736,09/2014
1737,01/2014
1738,05/2014
1739,02/2014
1740,05/2014
1741,04/2014
1742,10/2014
1743,09/2014
1744,04/2014
1745,11/2014
1746,10/2014
1747,05/2014
1748,12/2014
1749,12/2014
1750,10/2014
1751,11/2014
1752,05/2014
1753,01/2014
1754,05/2014
1755,05/2014
1756,03/2014
1757,09/2014
1758,01/2014
1759,03/2014
1760,01/2014
1761,06/2014
1762,10/2014
1763,01/2014
1764,09/2014
1765,02/2014
1766,11/2014
1767,01/2014
1768,12/2014
1769,02/2014
1770,03/2014
1771,11/2014
1772,08/2014
1773,09/2014
1774,05/2014
1775,02/2014
1776,05/2014
1777,01/2014
1778,10/2014
1779,11/2014
1780,01/2014
1781,05/2014
1782,06/2014
1783,06/2014
1784,07/2014
1785,11/2014
1786,11/2014
1787,04/2014
1788,01/2014
1789,06/2014
1790,12/2014
1791,11/2014
1792,10/2014
1793,01/2014
1794,09/2014
1795,12/2014
1796,01/2014
1797,12/2014
1798,05/2014
1799,11/2014
1800,01/2014
1801,12/2014
1802,06/2014
1803,12/2014
1804,11/2014
1805,08/2014
1806,01/2014
1807,01/2014
1808,09/2014
1809,01/2014
1810,09/2014
1811,11/2014
1812,11/2014
1813,01/2014
1814,02/2014
1815,06/2014
1816,06/2014
1817,01/2014
1818,12/2014
1819,07/2014
1820,02/2014
1821,10/2014
1822,01/2014
1823,09/2014
1824,11/2014
1825,01/2014
1826,04/2014
1827,12/2014
1828,01/2014
1829,06/2014
1830,08/2014
1831,01/2014
1832,12/2014
1833,08/2014
1834,11/2014
1835,03/2014
1836,01/2014
1837,01/2014
1838,07/2014
1839,12/2014
1840,01/2014
1841,02/2014
1842,06/2014
1843,07/2014
1844,04/2014
1845,11/2014
1846,09/2014
1847,12/2014
1848,09/2014
1849,12/2014
1850,09/2014
1851,01/2014
1852,01/2014
1853,11/2014
1854,10/2014
1855,12/2014
1856,01/2014
1857,01/2014
1858,03/2014
1859,03/2014
1860,01/2014
1861,08/2014
1862,09/2014
1863,12/2014
1864,07/2014
1865,02/2014
1866,01/2014
1867,01/2014
1868,10/2014
1869,01/2014
1870,11/2014
1871,01/2014
1872,11/2014
