APN,Registered Date,Property Type,PropertyAddress,PropertyCity,PropertyState,PropertyZip,CouncilDistrict,Lender,LenderContact,LenderContactPhone,PropertyManagement,PropertyManagementContact,PropertyManagementAddress,PropertyMgmtContactPhone,lon,lat,Property on map
2366026027,01/14/2021 12:00:00 AM,Single Family,4189 N VINELAND AVE,LOS ANGELES,CA,91604,2,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,-118.37055,34.14472,POINT (-118.37055 34.14472)
2178027011,01/21/2021 12:00:00 AM,Single Family,4621 N CONCHITA WAY,LOS ANGELES,CA,91356,3,"BRC Commercial Bridge Fund, LLC",David Takakawa,213-248-5657,BRC Commercial Bridge Fund,David Takakawa,245   Calle Mayor   Redondo Beach CA 90277,213-226-8705,-118.55927,34.1546,POINT (-118.55927 34.1546)
2785003007,01/27/2021 12:00:00 AM,Single Family,18646 W BRYANT ST,LOS ANGELES,CA,91324,12,Seattle Bank c/o Reverse Mortgage Solutions,Shelly Martinez,281-404-7962,Expert Real Estate & Investment,Aurora Gim,9447   FIRESTONE BLVD A DOWNEY CA 90241,951-286-5918,-118.53981,34.22717,POINT (-118.53981 34.22717)
2004003006,10/04/2021 12:00:00 AM,Single Family,8351 N PONCE AVE,LOS ANGELES,CA,93063,12,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.62158,34.22104,POINT (-118.62158 34.22104)
5001021015,05/12/2021 12:00:00 AM,Multi-Family,609 1/2 W 56TH ST,LOS ANGELES,CA,90037,9,Gregory Funding,Gregory Funding,866-712-5698,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.28456,33.99157,POINT (-118.28456 33.99157)
2654002136,02/11/2021 12:00:00 AM,Single Family,9038 N ORION AVE,LOS ANGELES,CA,91343,7,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Trevethan Aaron,27071   cabot RD  LAGUNA HILLS CA 92653,949-612-0342,-118.47181,34.23495,POINT (-118.47181 34.23495)
2510012031,01/22/2021 12:00:00 AM,Single Family,13457 N ELDRIDGE AVE,LOS ANGELES,CA,91342,7,Sergey Polishchuk,Sergey Polishchuk,818-915-1761,N/A,Segey Polishchuk,17144   Kingsbury ST  GRANADA HILLS CA 91344,818-915-1761,-118.42302,34.31634,POINT (-118.42302 34.31634)
2607017018,06/13/2021 12:00:00 AM,Single Family,11547 N OSTROM AVE,LOS ANGELES,CA,91344,12,"Aspen Properties Group, LLC",Kim Young,913-349-0401,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,-118.50643,34.28073,POINT (-118.50643 34.28073)
6005018009,05/18/2021 12:00:00 AM,Single Family,232 W 61ST ST,LOS ANGELES,CA,90003,9,CALIBER HOME LOANS,VPR DEPARTMENT,213-345-6264,EDWARD ZUBIA,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,818-406-3611,-118.2772,33.98411,POINT (-118.2772 33.98411)
5037013007,10/14/2021 12:00:00 AM,Multi-Family,1254 W EXPOSITION BLVD,LOS ANGELES,CA,90007,8,Fay Servicing LLC - Eric Moore,Eric Moore,877-338-3791,Safeguard - Code Compliance,Code Compliance,7887   Safeguard Cir  Valley View OH 44125,800-852-8306,-118.29915,34.018,POINT (-118.29915 34.018)
6050018030,12/03/2021 12:00:00 AM,Single Family,759 E 97TH ST,LOS ANGELES,CA,90002,8,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.26101,33.94849,POINT (-118.26101 33.94849)
6048038011,01/05/2021 12:00:00 AM,Multi-Family,9805 S WILMINGTON AVE,LOS ANGELES,CA,90002,15,AJA CAPITAL INVESTMENTS LLC,Assumpta De Silva,626-824-9536,NULL,NULL,,NULL,-118.23913,33.94721,POINT (-118.23913 33.94721)
2106001032,01/04/2021 12:00:00 AM,Single Family,19927 W CANTARA ST,LOS ANGELES,CA,91306,3,FCI Lender Services,FCI Services,800-931-2424,"Incorp Services, Inc",Registrations Department,5716   Corsa Ave Suite 110   Westlake Village CA 91362,888-727-6303,-118.5676,34.21892,POINT (-118.5676 34.21892)
5307021005,01/14/2021 12:00:00 AM,Single Family,4415 N VAN HORNE AVE,LOS ANGELES,CA,90032,14,CALIFORNIA HOUSING FINANCE AGENCY,Property Preservation,800-669-0340,Safeguard,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.1696,34.09746,POINT (-118.1696 34.09746)
5312021051,09/02/2021 12:00:00 AM,Single Family,6210 N LOMITAS DR,LOS ANGELES,CA,90042,14,"Mr. Cooper/Nationstar Mortgage, LLC.",Mr. Cooper,888-456-0714,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,844-488-7447,-118.17925,34.10669,POINT (-118.17925 34.10669)
4365001004,02/04/2021 12:00:00 AM,Single Family,11411 W AYRSHIRE ROAD,LOS ANGELES,CA,90049,11,Goldman Sachs Bank USA,Scott Sawyer,213-634-1004,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863,-118.46711,34.07116,POINT (-118.46711 34.07116)
5538014015,04/09/2021 12:00:00 AM,Single Family,873 N EDGEMONT ST,LOS ANGELES,CA,90029,13,"DOVENMUEHLE MORTGAGE, INC.",PROPERTY PRESERVATION,847-550-7410,Safeguard c/o Bron Inc Jefferson,Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,800-852-8306,-118.29623,34.08782,POINT (-118.29623 34.08782)
2376001011,01/21/2021 12:00:00 AM,Single Family,4148 N SUNSWEPT DR,LOS ANGELES,CA,91604,4,Aztec Financial,Chloe Allton,818-848-8960,Aztec Financial,Chloe Allton,2624  W MAGNOLIA  BLVD  BURBANK CA 91505,818-848-8960,-118.40584,34.14129,POINT (-118.40584 34.14129)
2276016021,03/24/2021 12:00:00 AM,Single Family,14533 W VALLEY VISTA BLVD,LOS ANGELES,CA,91403,4,Vista Land Properties LLC,Mark Wong,310-701-2775,NA/ Self managed,Mark Wong,2355   Westwood BLVD 526 Los Angeles CA 90064,310-701-2775,-118.45085,34.14725,POINT (-118.45085 34.14725)
6017029018,01/06/2021 12:00:00 AM,Multi-Family,2131 1/2 W 79TH ST,LOS ANGELES,CA,90047,8,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,The Herac Group,Torres Rose,11030   Arrow RE  RANCHO CUCAMONGA CA 91730,909-481-1100,-118.31666,33.96739,POINT (-118.31666 33.96739)
5007019028,01/08/2021 12:00:00 AM,Single Family,5408 S WEST BLVD,LOS ANGELES,CA,90043,8,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.33541,33.99265,POINT (-118.33541 33.99265)
7404022003,01/25/2021 12:00:00 AM,Single Family,24610 S AVALON AVE,LOS ANGELES,CA,90744,15,Champion Mortgage,Jennifer Hathaway,972-894-2950,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.26376,33.80242,POINT (-118.26376 33.80242)
5577007142,01/12/2021 12:00:00 AM,Single Family,3480 N BARHAM BLVD,LOS ANGELES,CA,90068,4,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.34199,34.1354,POINT (-118.34199 34.1354)
2325023033,06/24/2021 12:00:00 AM,Single Family,6451 N BELLAIRE AVE,LOS ANGELES,CA,91606,2,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,First Team Real Estate,Eddy Leon,20234   State ROAD  Cerritos CA 90703,562-461-1200,-118.40919,34.18819,POINT (-118.40919 34.18819)
