APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Mgmt Contact Phone,Property on Map
5143029070,03/18/2017,Single Family,1100 W WILSHIRE BLVD,LOS ANGELES,CA,90017,1,Fay Servicing LLC,Grace Wesson,877-338-3791,MCS-Bron,Eric Moore,27720   Jefferson AVE 210 Temecula CA 92590,813-387-8306,POINT (-118.26384000000002 34.05228)
5069019006,07/03/2017,Multi-Family,1419 S CURSON AVE,LOS ANGELES,CA,90019,10,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,OGIWA INCORPORATED,Olatunji Giwa,1028  N Lake AVE 208 PASADENA CA 91104,626-787-1471,POINT (-118.36014000000002 34.04913)
6051010005,01/11/2017,Single Family,1137 E 104TH ST,LOS ANGELES,CA,90002,8,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,POINT (-118.25523 33.942)
7422026002,01/24/2017,Single Family,536 E Q ST,LOS ANGELES,CA,90744,15,NEW AMERICAN FUNDING,KARLA HOWES,949-445-8824,SO CAL INSPECTORS INC,SUZANNE PHILLIPS,9525   Stewart and Gray RD  Downey CA 90241,949-445-8824,POINT (-118.25693 33.79563)
6088023017,01/31/2017,Single Family,11846 S ORCHARD AVE,LOS ANGELES,CA,90044,15,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,POINT (-118.288 33.9252)
6042016022,04/12/2017,Single Family,834 E 90TH ST,LOS ANGELES,CA,90002,9,Specialized Loan Servicing as Servicing Agent for Beneficiary,Hunter Robinson,877-367-0512,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,POINT (-118.25957 33.9546)
5473014005,01/03/2017,Single Family,4188 N YORK BLVD,LOS ANGELES,CA,90065,14,"U.S. Bank, N.A. C/O Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,POINT (-118.22688000000001 34.12368)
2375019050,01/20/2017,Single Family,13035 W VALLEYHEART DR,LOS ANGELES,CA,91604,2,Bank of America,VPR Department,800-669-2443,SAFEGUARD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,POINT (-118.4173 34.1474)
2715001014,04/01/2017,Single Family,11052 N RESEDA BLVD,LOS ANGELES,CA,91326,12,Fay Servicing LLC,Grace Wesson,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,POINT (-118.53589 34.27127)
2106012103,10/05/2017,Single Family,7711 N CALLE MARIA,LOS ANGELES,CA,91306,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,POINT (-118.56289000000001 34.21122)
5074009008,01/20/2017,Multi-Family,1563 S HARVARD BLVD,LOS ANGELES,CA,90006,10,"Newport Beach Holdings, LLC",Don Madden,855-734-0411,OGIWA INCORPORATED,Olatunji Giwa,1028  N Lake AVE 208 PASADENA CA 91104,626-787-1471,POINT (-118.30432 34.04402)
5070008014,03/14/2017,Multi-Family,1270 S MEADOWBROOK AVE,LOS ANGELES,CA,90019,10,US BANK,Jessica Vanella,612-973-2749,Advantage Conveyance,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,POINT (-118.34904000000002 34.05115)
6088024004,01/03/2017,Single Family,636 W 118TH ST,LOS ANGELES,CA,90044,15,Deutsche Bank c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,POINT (-118.28616999999998 33.92597)
6057017018,09/22/2017,Single Family,1947 W 96TH ST,LOS ANGELES,CA,90047,8,Shellpoint Mortgage Servicing,Tracy Hall,864-312-4380,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,POINT (-118.31308000000001 33.9492)
2779022138,01/05/2017,Single Family,8601 N INTERNATIONAL AVE,CANOGA PARK,CA,93063,3,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,POINT (-118.59957 34.22805)
2316011037,07/10/2017,Single Family,7503 N CAMELLIA AVE,LOS ANGELES,CA,91605,2,Shellpoint Mortgage Servicing,Tracy Hall,864-312-4380,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,POINT (-118.38246 34.20684)
2162011196,01/19/2017,Single Family,5343  YARMOUTH AVE,ENCINO,CA,91316,5,Deutsche Bank c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,POINT (-118.52041 34.16824)
5175027012,07/03/2017,Single Family,702 N CUMMINGS ST,LOS ANGELES,CA,90033,14,Specialized Loan Servicing LLC on behalf of beneficiary,Douglas Randall,720-563-8186,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,POINT (-118.21047 34.05161)
5469019016,01/04/2017,Single Family,330 N AVENUE 53,LOS ANGELES,CA,90042,1,U.S. Bank NA c/o Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   Whilshire BLVD 1109 Los Angeles CA 90010,213-804-7437,POINT (-118.20043 34.10988)
2639015016,07/21/2017,Single Family,8901 N KATHERINE AVE,LOS ANGELES,CA,91402,6,SHELLPOINT MORTGAGE SERVICING c/o Peak Foreclosure,KELLI ESPINOZA,818-206-3160,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,POINT (-118.4466 34.23176)
5590026007,01/10/2017,Multi-Family,4628 1/2 W KINGSWELL AVE,LOS ANGELES,CA,90027,4,Novastar LLC,Philip landau,310-567-0777,Novastar llc,philip landau,1976  S lacienega BLVD 257 Los angeles CA 90034,310-567-0777,POINT (-118.29066999999999 34.10248)
2428023005,07/03/2017,Single Family,6919 W PACIFIC VIEW DR,LOS ANGELES,CA,90068,4,"U.S. Bank, N.A. C/O Select Portfolio Servicing",N/A N/A,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,POINT (-118.34541000000002 34.12152)
2168007034,11/08/2017,Single Family,5255 N MEDINA ROAD,LOS ANGELES,CA,91364,3,"U.S. Bank N.A., c/o Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,POINT (-118.59871 34.16484)
2512028062,07/06/2017,Single Family,13093 N TRIPOLI AVE,LOS ANGELES,CA,91342,7,SELECT PORTFOLIO SERVICING,CUSTOMER SERVICE,800-312-4380,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,POINT (-118.41667 34.30808)
2603015095,01/12/2017,Single Family,13429 N PALA AVE,LOS ANGELES,CA,91342,7,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,POINT (-118.4764 34.31549)
6033006009,01/18/2017,Single Family,8009 S MARIPOSA AVE,LOS ANGELES,CA,90044,8,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,POINT (-118.29939 33.96618)
2317013023,01/09/2017,Multi-Family,11923 W RUNNYMEDE ST,LOS ANGELES,CA,91605,2,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,Remedy Field Services Inc,Agnes Mella,15615   Alton PKWY  IRVINE CA 92618,888-540-4490,POINT (-118.39311 34.20589)
4226011021,11/01/2017,Multi-Family,38 1/2 E 18TH AVE,VENICE,CA,90291,11,"Justus Commercial Group, LLC",Thomas Justus,805-822-5107,LRES,Kathy Golden,765   The City Drive South   Orange CA 92868,714-872-5822,POINT (-118.47148000000001 33.98647)
2384024016,08/22/2017,Single Family,3250 N COLDWATER CANYON AVE,LOS ANGELES,CA,91604,2,Bank of America,VPR Department,800-669-2443,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,POINT (-118.40960000000001 34.13332)
6036021017,03/15/2017,Single Family,8947 S GRAMERCY PL,LOS ANGELES,CA,90047,8,Us BANK National Association,Jessica Vanella,612-973-2749,Advantage Conveyance,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,POINT (-118.31350000000002 33.95491)
6048011039,01/11/2017,Single Family,1450 E 101ST ST,LOS ANGELES,CA,90002,15,DITECH FINANCIAL LLC,TEMPE PROPERTIES,480-333-6059,SAFEGUARD PROPERTIES,CODE COMPLIANCE,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,POINT (-118.24881 33.94493)
2201012017,05/12/2017,Single Family,8212 N ENCINO AVE,LOS ANGELES,CA,91325,12,Penny Mac,Brittni Ferrante,818-878-8411,AFS c/o PRIORITY 1 PROPERTY PRESERVATION INC - SOUTH,Bill Kleiser,2780   DOVE TAIL TR  San Marcos CA 92078,800-468-1743,POINT (-118.51411 34.21959)
2734012065,01/03/2017,Single Family,17645 W LEMARSH ST,LOS ANGELES,CA,91325,12,US Bank National Association,US Bank Association,612-973-2749,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,POINT (-118.51936000000002 34.25571)
6035001011,01/26/2017,Single Family,1825 W 80TH ST,LOS ANGELES,CA,90047,8,Freedom Mortgage,Jared Huffman,855-690-5900,Pinelands Preservation,Will Wheelehan,44501   Auburn BLVD  Sacramento CA 95841,916-277-8243,POINT (-118.30996000000002 33.9665)
2341019008,01/05/2017,Single Family,12804 W HATTERAS ST,LOS ANGELES,CA,91607,2,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,NULL,NULL,,NULL,POINT (-118.41191 34.17562)
4019001024,02/04/2017,Single Family,5817 S ALVISO AVE,LOS ANGELES,CA,90043,8,Deutsche Bank c/o Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   Whilshire BLVD 1109 Los Angeles CA 90010,800-852-8306,POINT (-118.34409000000001 33.98839)
5023015006,07/03/2017,Single Family,4229 S 7TH AVE,LOS ANGELES,CA,90008,10,"U.S. Bank, N.A. C/O Select Portfolio Servicing",N/A N/A,888-348-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,POINT (-118.32489 34.00627)
2628011011,01/26/2017,Single Family,8923 N LEV AVE,LOS ANGELES,CA,91331,6,Nationstar Mortgage LLC,Code Compliance,888-480-2432,MCS-Bron,Eric Moore,27720   Jefferson AVE 210 Temecula CA 92590,813-387-8306,POINT (-118.41398 34.23169)
5114033026,09/20/2017,Single Family,1161 E 40TH PL,LOS ANGELES,CA,90011,9,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,POINT (-118.25503000000002 34.01029)
5093027176,04/26/2017,Single Family,3810 W WILSHIRE BLVD 1-260,LOS ANGELES,CA,90010,10,Fannie Mae,Peter Park,323-933-0330,"Edgestone Real Estate, Inc.",Sebastian stofenmacher,4344   fountain AVE G Los Angeles CA 90029,818-464-5113,POINT (-118.30943 34.06139)
7559040012,10/05/2017,Single Family,384 S MIRALESTE DR,SAN PEDRO,CA,90732,15,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,POINT (-118.31595000000002 33.74241)
2266024041,11/07/2017,Single Family,4146 N MURIETTA AVE,LOS ANGELES,CA,91423,4,PHILIP KRAUS,PHILIP KRAUS,818-365-6616,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,POINT (-118.43676999999998 34.14566)
4327006029,06/19/2017,Single Family,626 W VERNON AVE,LOS ANGELES,CA,90037,5,Ditech Financial LLC,Property Department,800-468-1743,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,POINT (-118.42550999999999 34.05769)
5001021015,01/31/2017,Multi-Family,609 1/2 W 56TH ST,LOS ANGELES,CA,90037,9,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,POINT (-118.28456000000001 33.99157)
2108003003,04/03/2017,Single Family,8015 N MASON AVE,LOS ANGELES,CA,91306,3,Specialized Loan Servicing as Servicing Agent for Beneficiary,Hunter Robinson,877-367-0512,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,POINT (-118.57994 34.216)
5034002052,06/28/2017,Single Family,3890 S WESTSIDE AVE,LOS ANGELES,CA,90008,10,"HSBC Bank, C/O Select Portfolio Servicing",N/A N/A,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,POINT (-118.32693000000002 34.01479)
6017004026,04/20/2017,Multi-Family,2115 W 73RD ST,LOS ANGELES,CA,90047,8,"Dovenmuehle Mortgage, Inc.",Eric Barber,866-397-5370,MCS Mortgage Contracting Services,Marshayla Shaw Johnson,6504   International PARK 1500 Plano TX 75093,866-536-1100,POINT (-118.31616999999999 33.97378)
5580024002,06/04/2017,Single Family,2406 N CAZAUX PL,LOS ANGELES,CA,90068,4,Specialized Loan Servicing LLC on behalf of beneficiary,Douglas Randall,720-563-8186,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,POINT (-118.31398 34.11524000000001)
6003022004,03/09/2017,Multi-Family,1137 W 61ST ST,LOS ANGELES,CA,90044,9,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,Pinelands Preservation,Will Wheelehan,44501   Auburn BLVD  Sacramento CA 95841,916-277-8243,POINT (-118.29523000000002 33.98426)
2169023025,12/29/2017,Single Family,5026 N LLANO DR,LOS ANGELES,CA,91364,3,"Trustee Corps, PHH Mortgage",Property Preservation,856-917-3306,Safeguard c/o Bron Inc Jefferson,Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,800-852-8306,POINT (-118.61123 34.16019)
6069024027,01/03/2017,Single Family,11305 S MONITOR AVE,LOS ANGELES,CA,90059,15,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,POINT (-118.24031000000001 33.93182)
2164018016,01/05/2017,Single Family,5360 N BOTHWELL ROAD,LOS ANGELES,CA,91356,3,Erasmus partners inc,keith Blinkinsoph,818-264-5813,NULL,NULL,,NULL,POINT (-118.56097 34.16886)
4325004128,01/17/2017,Single Family,10750 W WILSHIRE BLVD 1-85,LOS ANGELES,CA,90024,5,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,POINT (-118.43844 34.06002)
4001029016,01/12/2017,Single Family,6242 S MORLEY AVE,LOS ANGELES,CA,90056,11,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,Elizabeth Acosta,Elizabeth Acosta,11030   Arrow Route  102 RANCHO CUCAMONGA CA 91730,929-481-1100,POINT (-118.36536 33.98274)
2017027016,02/20/2017,Single Family,7753 N GRAYSTONE DR,LOS ANGELES,CA,91304,12,Shellpoint Mortgage Services,Tracy Hall,866-825-2174,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,POINT (-118.65432000000001 34.21226)
2656011072,08/01/2017,Single Family,9531  SEPULVEDA,LOS ANGELES,CA,91343,7,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,POINT (-118.46778 34.24459)
5542005008,09/18/2017,Single Family,4432 W CAMERO AVE,LOS ANGELES,CA,90027,4,"Center Street Lending Fund IV SPE, LLC, a Delaware Limited Liability Company",Kristina Guillen,949-430-0757,Safeguard Properties,Safeguard Properties,7887   Safeguard Cir  Valley View OH 44125,877-340-0060,POINT (-118.28634999999998 34.10078)
2034001021,01/04/2017,Single Family,23727 W WELBY WAY,LOS ANGELES,CA,91307,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,NULL,NULL,,NULL,POINT (-118.64365000000001 34.19253)
2428023005,01/19/2017,Single Family,6919 W PACIFIC VIEW DR,LOS ANGELES,CA,90068,4,"US Bank, N.A., as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,POINT (-118.34541000000002 34.12152)
6121017022,03/13/2017,Single Family,756 W 173RD PL,LOS ANGELES,CA,90247,15,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,POINT (-118.28999 33.87362000000001)
5042020008,01/17/2017,Single Family,1929 W ROCHESTER CIR,LOS ANGELES,CA,90018,8,RUSHMORE LOAN MGMT SERVICES,ENRIQUE OROZCO,949-341-5601,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,POINT (-118.31486 34.02117)
2124017106,03/29/2017,Single Family,18227 W DOMINO ST,LOS ANGELES,CA,91335,3,CitiMortgage,Erin Theobald,877-290-3997,Safeguard Properties,Edward Zubiz,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,POINT (-118.53031000000001 34.18464)
2132007013,03/29/2017,Single Family,6707 N SHIRLEY AVE,LOS ANGELES,CA,91335,3,Deutsche Bank c/o Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,POINT (-118.55806 34.19241)
2078001022,07/05/2017,Single Family,23021 W BRETTON PL,LOS ANGELES,CA,91364,3,Shellpoint Mortgage Servicing,Tracy Hall,864-312-4380,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,POINT (-118.6298 34.1501)
2114008042,01/04/2017,Single Family,20415 W RUNNYMEDE ST,LOS ANGELES,CA,91306,3,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,POINT (-118.57822000000002 34.20602)
2615017046,01/03/2017,Single Family,14600 W CHATSWORTH DR,LOS ANGELES,CA,91345,7,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,POINT (-118.45055999999998 34.2722)
4004031025,01/24/2017,Single Family,3635 W 61ST ST,LOS ANGELES,CA,90043,8,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,877-617-8274,POINT (-118.33658000000001 33.98457)
5216007004,02/02/2017,Multi-Family,2418 N EASTERN AVE,LOS ANGELES,CA,90032,14,JP Morgan Chase NA,Amy Lott,888-310-1506,Pinelands Preservation,Will Wheelehan,44501   Auburn BLVD  Sacramento CA 95841,916-277-8243,POINT (-118.18014 34.07387)
6087019005,02/16/2017,Single Family,332 W 118TH PL,LOS ANGELES,CA,90061,15,"Trinity Financial Services, LLC",David Vo,855-734-0411,OGIWA INCORPORATED,Olatunji Giwa,1028  N Lake AVE 208 PASADENA CA 91104,626-787-1471,POINT (-118.2795 33.92545)
2534026023,01/09/2017,Multi-Family,11155 N HERRICK AVE,PACOIMA,CA,91331,7,"Ocwen Loan Servicing, LLC",Ivonne Pettegrew,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,POINT (-118.41642 34.27238)
5081019014,01/03/2017,Single Family,1101 S ARLINGTON AVE,OLD APN,CA,99999,10,U.S. Bank NA c/o Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,POINT (-118.31767000000002 34.04965)
6023023003,06/15/2017,Single Family,708 E 76TH PL,LOS ANGELES,CA,90001,9,Specialized Loan Servicing LLC on behalf of beneficiary,Douglas Randall,720-563-8186,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,POINT (-118.26256 33.970150000000004)
2644026152,09/13/2017,Single Family,9555 N WOODMAN AVE,LOS ANGELES,CA,91331,6,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,POINT (-118.44645 34.24406)
2728017022,01/01/2017,Single Family,18901 W BLACKHAWK ST,LOS ANGELES,CA,91326,12,Wells Fargo Bank NA c/o Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   Whilshire BLVD 1109 Los Angeles CA 90010,213-804-7437,POINT (-118.54521 34.25862)
2605018027,07/20/2017,Single Family,11659 N SWINTON AVE,LOS ANGELES,CA,91344,12,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,POINT (-118.48561000000001 34.28231)
2718022016,01/30/2017,Single Family,10901 N DES MOINES AVE,LOS ANGELES,CA,91326,12,Shellpoint Mortgage Services,Tracy Hall,866-825-2174,"Zieve, Brodnax, & Steele, LLP c/o Bron Inc",Bron Inc,30   Corporate PARK 450 IRVINE CA 92606,877-338-3791,POINT (-118.55473 34.26802)
4401011031,12/18/2017,Single Family,575 S BARRINGTON AVE,LOS ANGELES,CA,90049,11,Statebridge Company LLC,Frank Robbins,303-962-6753,Edward Zubia,Edward Zubia,3540   Wilshire  1109 Los Angeles CA 90010,213-804-7437,POINT (-118.46827000000002 34.05769)
2290026020,01/02/2017,Single Family,4625 N LOUISE AVE,LOS ANGELES,CA,91316,5,"Wells Fargo Bank, N.A C/O Select Portfolio Servicing",NA NA,888-349-8964,Safeguard Properties,Ed Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,POINT (-118.50992 34.1535)
5538012003,06/20/2017,Single Family,1028 N KENMORE AVE,LOS ANGELES,CA,90029,13,U.S. Bank NA c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,POINT (-118.29689000000002 34.09025)
4379004003,03/31/2017,Single Family,2627 N BASIL LANE,LOS ANGELES,CA,90077,5,Cenlar FSB,ATHENA SANTOS,720-945-5431,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,POINT (-118.44864 34.11951)
2401028012,08/03/2017,Single Family,8618 W LA TUNA CANYON ROAD,LOS ANGELES,CA,91352,7,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,877-617-8274,POINT (-118.32057999999999 34.23705)
2178021011,01/01/2017,Single Family,4371 N VANALDEN AVE,LOS ANGELES,CA,91356,3,U.S. Bank NA c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,POINT (-118.55543 34.14963)
