APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Management Contact Phone,lon,lat,Property on Map
5525030017,05/27/2020,Multi-Family,423 N ORANGE DR,LOS ANGELES,CA,90036,5,Rods Inc,Mayer Schmukler,310-869-4869,NULL,NULL,,NULL,-118.342,34.079,POINT (-118.34200000000001 34.079)
5555007013,08/24/2020,Single Family,1374 N MILLER PL,HOLLYWOOD,CA,90069,4,S & R INCOME II LP,Karen Larson,818-222-5222,NULL,NULL,,NULL,-118.37661,34.09534,POINT (-118.37661 34.09534)
7447001043,01/07/2020,Non-Residential,00956   MIRAFLORES,LOS ANGELES,CA,90732,15,"Danco, Inc.",Ronald Perlstein,310-842-8235,NULL,NULL,,NULL,-118.2983846,33.7528424,POINT (-118.2983846 33.7528424)
5218018033,03/12/2020,Single Family,3321 N PUEBLO AVE,LOS ANGELES,CA,90032,14,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,-118.17433,34.08457,POINT (-118.17433 34.08457)
2360026041,06/04/2020,Single Family,4539 N LONGRIDGE AVE,LOS ANGELES,CA,91423,4,M&T Bank,Eric Moore,877-338-3791,Safeguard,Ryan Sabo,7887   Safeguard Cir  Valley View OH 44125,800-852-8306,-118.42154,34.15333,POINT (-118.42154 34.15333)
2558040019,03/05/2020,Single Family,7733 W THOUSAND OAKS DR,LOS ANGELES,CA,91042,7,CALIBER HOME LOANS,CHRISTINE CAYANAN,214-874-4174,EDWARD ZUBIA,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,818-406-3611,-118.30135,34.25218,POINT (-118.30134999999999 34.25218)
2040017005,01/06/2020,Single Family,22522 W BERDON ST,LOS ANGELES,CA,91367,3,Fay Servicing LLC - Eric Moore,Eric Moore,877-338-3791,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,-118.61761,34.17087,POINT (-118.61760999999998 34.17087)
5405013020,07/20/2020,Single Family,1446 W CARROLL AVE,LOS ANGELES,CA,90026,1,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Cyprexx - Physical Address,Code Compliance,525   Grand Regency BLVD  Brandon FL 33510,813-387-5891,-118.25652,34.07023,POINT (-118.25652000000001 34.07023)
2779012006,03/10/2020,Multi-Family,21216 W CHASE ST,LOS ANGELES,CA,93063,3,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,"Kash Construction and Management, INC.",Rob Kash,533  S Los Angeles ST 504 Los Angeles CA 90013,818-636-9795,-118.59433,34.22446,POINT (-118.59433 34.22446000000001)
5001021015,01/28/2020,Multi-Family,609 1/2 W 56TH ST,LOS ANGELES,CA,90037,9,"U.S. Bank National Association, as Indenture Trustee on behalf of and with respect to Ajax Mortgage",Daleana Bautista,503-505-5645,Cargile Company Realtors In,Paul Cargile,5901  W Century BLVD 640 Los Angeles CA 90045,310-275-0788,-118.28456,33.99157,POINT (-118.28456000000001 33.99157)
2631010073,03/11/2020,Single Family,11811 W REDBANK ST,LOS ANGELES,CA,91352,6,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,OGIWA INCORPORATED,Olatunji Giwa,1028  N Lake AVE 208 PASADENA CA 91104,626-787-1471,-118.38983,34.22911,POINT (-118.38983 34.22911)
6069017022,01/06/2020,Single Family,1710 E 111TH PL,LOS ANGELES,CA,90059,15,Rushmore Loan Management,Rose Lara,949-341-5603,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.24316,33.93383,POINT (-118.24316 33.93383)
6023032010,01/03/2020,Multi-Family,627 E 79TH ST,LOS ANGELES,CA,90001,9,"U.S. Bank National Association, as Trustee",Douglas Randall,303-470-3633,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,801-461-8200,-118.26406,33.96755,POINT (-118.26406 33.96755)
4256014030,01/10/2020,Single Family,2827 S WESTWOOD BLVD,LOS ANGELES,CA,90064,5,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Guardian Asset Management,Colleen McEntee,2300  E Lincoln HWY  Langhorne PA 19047,267-825-0283,-118.42278,34.03267,POINT (-118.42278000000002 34.03267)
5569035009,02/15/2020,Single Family,2001 N MOUNT OLYMPUS DR,LOS ANGELES,CA,90046,4,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,-118.36603,34.10799,POINT (-118.36603 34.10799)
2524002019,01/21/2020,Single Family,11751 N GLENCREST DR,LOS ANGELES,CA,91340,7,Celink,Daniel Stack,866-727-4303,Carlos Sims,Carlos Sims,11820   Cherrylee DR  El Monte CA 91732,800-639-2151,-118.42099,34.2837,POINT (-118.42099 34.2837)
5056021016,02/11/2020,Single Family,1724 S MENLO AVE,LOS ANGELES,CA,90006,1,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Coldwell Banker Sherman Oaks,PHILIP BORODA,15490   Ventura BLVD 100 Los Angeles CA 91403,818-728-3944,-118.29048,34.04189,POINT (-118.29048000000002 34.04189)
2781031030,05/27/2020,Single Family,8836 N COMANCHE AVE,LOS ANGELES,CA,91306,3,AMWEST FUNDING,SARAH MELTON,714-831-3259,PEAK FORECLOSURE SERVICES,KELLI ESPINOZA,5900   Canoga AVE 220 Woodland Hills CA 91367,818-591-9237,-118.57204,34.23115,POINT (-118.57204 34.23115)
5015002030,09/23/2020,Multi-Family,1861 W 46TH ST,LOS ANGELES,CA,90062,8,Fay Servicing LLC - Eric Moore,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,-118.31346,34.00201,POINT (-118.31346 34.00201)
5174020025,04/06/2020,Single Family,1405 E WARREN ST,LOS ANGELES,CA,90033,14,Employees Retirement & Benefit P&T,Mike Abghari,949-903-0624,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,-118.21995,34.05122,POINT (-118.21995000000001 34.05122)
4012023004,03/18/2020,Multi-Family,3416 W 78TH ST,LOS ANGELES,CA,90043,8,Mor Financial Services,Rosie Bonilla,213-784-0732,BSI Financial,registrations dept,5716   Corsa AVE  Westlake Village CA 91362,814-827-4661,-118.33139,33.96901,POINT (-118.33139 33.96901)
2346021044,01/31/2020,Single Family,5319 N GOODLAND AVE,LOS ANGELES,CA,91607,2,Nationstar Mortgage. LLC,Ruth Wagner,888-456-0714,"Solid Foundation Properties, LLC",Ruth Wagner,3937   arlington AVE  LOS ANGELES CA 90008,844-488-7662,-118.41156,34.16716,POINT (-118.41156 34.16716)
6020021026,01/21/2020,Multi-Family,617 1/2 W 76TH ST,LOS ANGELES,CA,90044,8,Dbalt 2007-oa1,Douglas Randall,303-470-3633,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,-118.28478,33.97086,POINT (-118.28478 33.97086)
2627026010,01/16/2020,Single Family,8701 N ROSLYNDALE AVE,LOS ANGELES,CA,91331,6,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.42145,34.22781,POINT (-118.42145 34.22781)
4234014016,07/15/2020,Multi-Family,11700 W CHARNOCK RD,LOS ANGELES,CA,90066,11,"TGP Opportunity Fund I, LLC",William Gaskins,916-753-2718,California TD Specialist,Janina Hoak,8190  E Kaiser   Anaheim Hills CA 92808,714-283-2180,-118.42762,34.01216,POINT (-118.42762000000002 34.01216)
2206037110,01/14/2020,Single Family,15741 W WYANDOTTE ST,VAN NUYS,CA,91406,6,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.47632,34.20312,POINT (-118.47632000000002 34.20312)
6051016023,01/22/2020,Single Family,930 E 106TH ST,LOS ANGELES,CA,90002,8,JP Morgan Chase NA,Amy Lott,888-310-1506,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.25763,33.94,POINT (-118.25763000000002 33.94)
2871015015,05/01/2020,Single Family,18856 W NAU AVE,LOS ANGELES,CA,91326,12,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.54441,34.27971,POINT (-118.54441000000001 34.27971)
2108033015,01/22/2020,Single Family,7618 N KELVIN AVE,LOS ANGELES,CA,91306,3,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.58617,34.20883,POINT (-118.58617 34.20883)
6117030005,02/27/2020,Multi-Family,13212 S VERMONT AVE,LOS ANGELES,CA,90247,15,Champion Mortgage,Tina Simmons,972-894-9993,Carlos Sims,Carlos Sims,11820   Cherrylee DR  El Monte CA 91732,800-639-2151,-118.29143,33.91194,POINT (-118.29143 33.91194)
5042022006,01/07/2020,Multi-Family,3700 1/2 S ARLINGTON AVE,LOS ANGELES,CA,90018,8,"CALIBER HOME LOANS, INC.",Kandyce Hughes,214-874-4174,"Mortgage Contracting Services, Inc",Property Registration Property Registration,6504   INTERNATIONAL PKWY  PLANO TX 75093,813-387-1100,-118.31752,34.02095,POINT (-118.31752000000002 34.02095)
2701007123,09/21/2020,Single Family,19407 W TURTLE RIDGE LANE,LOS ANGELES,CA,91326,12,Bank of America C/O Reverse Mortgage Solutions,Shelly Martinez,281-404-7962,South Pacific Field Services LLC,Tamie Mason,31568   Railroad Canyon ROAD 100 Canyon Lake CA 92587,951-696-8100,-118.55701,34.29605,POINT (-118.55701000000002 34.29605)
2688013023,01/22/2020,Single Family,8816 N VALJEAN AVE,LOS ANGELES,CA,91343,12,The Bank of New York Mello,Doug Randall,303-470-3633,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,-118.48717,34.23068,POINT (-118.48717000000002 34.23068)
5501002018,01/31/2020,Single Family,341 N VIRGIL AVE,LOS ANGELES,CA,90004,13,Bank of Hope,Sang Ho Lee,213-233-1861,KORUS Real Estate,Mark Hong,3785   Wilshire BLVD 223 Los Angeles CA 90010,213-251-9000,-118.28706,34.0775,POINT (-118.28706 34.0775)
5510001001,06/11/2020,Single Family,6215 W DREXEL AVE,LOS ANGELES,CA,90048,5,Anchor Loans,Dannielle Gates,818-836-1485,Anchor Loans LP,Anthony Martinez,"5230   5230 Las Virgenes Rd., Ste. 105   Calabasas CA 91302",310-395-0010,-118.36212,34.06841,POINT (-118.36212 34.06841)
2503022013,01/22/2020,Single Family,14010 W TYLER ST,LOS ANGELES,CA,91342,7,"U.S. Bank National Association, as Trustee",Douglas Randall,303-470-3633,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,801-461-8200,-118.43846,34.32327,POINT (-118.43846 34.32327)
2078013009,04/02/2020,Single Family,22584 W FLAMINGO ST,LOS ANGELES,CA,91364,3,JP Morgan Chase NA,Amy Lott,888-310-1506,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.61775,34.1477,POINT (-118.61775000000002 34.1477)
5523006022,01/25/2020,Single Family,652 N CAHUENGA BLVD,LOS ANGELES,CA,90004,4,SUNG C LEE c/o BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.32869,34.083,POINT (-118.32869000000001 34.083)
2104001007,11/06/2020,Single Family,19142 W ROSCOE BLVD,LOS ANGELES,CA,91324,3,LoanCare LLC,Eric MOORE,877-338-3791,Guardian Asset Management,Vendor Management,2021   Hartel ST  Leviitown PA 19057,888-872-9094,-118.55066,34.22034,POINT (-118.55066 34.22034)
5521030008,04/21/2020,Single Family,338 N HOBART PL,LOS ANGELES,CA,90004,13,Bank of America C/O Reverse Mortgage Solutions,Shelly Martinez,281-404-7962,South Pacific Field Services LLC,Tamie Mason,31568   Railroad Canyon ROAD 100 Canyon Lake CA 92587,951-696-8100,-118.30595,34.0774,POINT (-118.30594999999998 34.0774)
5183001045,12/12/2020,Multi-Family,311 N CUMMINGS ST,LOS ANGELES,CA,90033,14,PHH Mortgage/Ocwen Financial Corporation,Jason Jastrzemski,561-682-7547,Guardian Asset Management,Colleen McEntee,2300  E Lincoln HWY  Langhorne PA 19047,267-825-0283,-118.21375,34.04767,POINT (-118.21374999999999 34.04767)
5206024004,01/23/2020,Single Family,458 E CLIFTON ST,LOS ANGELES,CA,90031,1,Specialized Loan Servicing LLC,n/a n/a,800-842-7654,NULL,NULL,,NULL,-118.20845,34.07914,POINT (-118.20845 34.07914)
4221022157,01/06/2020,Single Family,5000  CENTINELA AVE,LOS ANGELES,CA,92627,11,Selene Finance - Jefferson Office,Eric Moore,877-338-3791,M&M Mortgage Co,Andrew Nikeli,2031  E Cerritos AVE  Anaheim CA 92806,714-408-2916,-118.41498,33.98647,POINT (-118.41498000000001 33.98647)
5114019024,01/28/2020,Multi-Family,986 E 32ND ST 1-4,LOS ANGELES,CA,90011,9,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,-118.25839,34.01468,POINT (-118.25839000000002 34.01468)
4402008088,01/22/2020,Single Family,11678 W SUNSET BLVD,LOS ANGELES,CA,90049,11,Carrington Mortgage Services,code compliance,866-563-1100,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.46995,34.06592,POINT (-118.46995 34.06592)
6057012025,01/15/2020,Single Family,1926 W 94TH ST,LOS ANGELES,CA,90047,8,Freedom Mortgage,VPR DEPT,317-537-3748,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.31242,33.95112,POINT (-118.31242 33.95112)
5143012021,01/17/2020,Multi-Family,726 S COLUMBIA AVE,LOS ANGELES,CA,90017,1,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,"Solid Foundation Properties, LLC",Ruth Wagner,3937   arlington AVE  LOS ANGELES CA 90008,844-488-7662,-118.26888,34.05192,POINT (-118.26888 34.05192)
5023026007,01/31/2020,Single Family,4234 S 4TH AVE,LOS ANGELES,CA,90008,10,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.32126,34.00622,POINT (-118.32126 34.00622)
5107014028,01/15/2020,Multi-Family,1363 1/2 E 48TH ST,LOS ANGELES,CA,90011,9,Mr. Cooper LLC,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.2506,34.00032,POINT (-118.2506 34.00032)
5469019004,12/12/2020,Single Family,5219 E MONTE VISTA ST,LOS ANGELES,CA,90042,1,PHH Mortgage/Ocwen Financial Corporation,Jason Jastrzemski,561-682-7547,Guardian Asset Management,Colleen McEntee,2300  E Lincoln HWY  Langhorne PA 19047,267-825-0283,-118.20061,34.10886,POINT (-118.20061 34.10886)
2259005006,11/06/2020,Single Family,16806 W ADDISON ST,LOS ANGELES,CA,91436,5,"AMRAN,AYELET C/O RUSHMORE LOAN MANAGEMENT SERVICES",Property Preservation,949-341-5601,SAFEGUARD PROPERTIES,MIRANDA KUBE,7887   Safeguard Cir  Valley View OH 44125,800-852-8306,-118.49913,34.1622,POINT (-118.49913000000001 34.1622)
4330026014,05/28/2020,Non-Residential,00500   SMITHWOOD DR,BEVERLY HILLS,CA,90212,5,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Aaron Trevethan,27071   Cabot RD 119 LAGUNA HILLS CA 92653,949-612-0342,-118.397736,34.056978,POINT (-118.397736 34.056978)
2653004157,01/06/2020,Single Family,8805 N CEDROS AVE,LOS ANGELES,CA,91402,6,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Cyprexx - Physical Address,Code Compliance,525   Grand Regency BLVD  Brandon FL 33510,813-387-5891,-118.45369,34.23023,POINT (-118.45369 34.23023)
2201002007,01/06/2020,Single Family,8046 N WHITE OAK AVE,LOS ANGELES,CA,91325,12,"COLEMAN,MARK c/o RUSHMORE LOAN MANAGEMENT SERVICES",PROPERTY PRESERVATION,949-341-5601,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.51841,34.2169,POINT (-118.51841 34.2169)
5015034022,01/28/2020,Single Family,4714 S 2ND AVE,LOS ANGELES,CA,90043,8,Reverse Mortgage Solutions,Shelly Martinez,281-404-7962,South Pacific Field Services LLC,Tamie Mason,31568   Railroad Canyon ROAD 100 Canyon Lake CA 92587,951-696-8100,-118.31904,34.00045,POINT (-118.31904000000002 34.00045)
5559023009,03/17/2020,Single Family,8527 W HEDGES WAY,HOLLYWOOD,CA,90069,4,Cenlar FSB,Athena Santos,609-883-3900,Five Brothers,Five Brothers,12220  E 13 Mile RD  Warren MI 48093,586-772-7600,-118.37753,34.09674,POINT (-118.37753 34.09674)
6109008002,04/14/2020,Single Family,1207 W 186TH ST,LOS ANGELES,CA,90248,15,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Cyprexx - Physical Address,Code Compliance,525   Grand Regency BLVD  Brandon FL 33510,813-387-5891,-118.29466,33.8621,POINT (-118.29466 33.8621)
2715032033,06/25/2020,Single Family,18149 W DONMETZ ST,LOS ANGELES,CA,91326,12,Mr. Cooper LLC,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.52915,34.27453,POINT (-118.52915 34.27453)
2532023041,02/05/2020,Single Family,11377 N DRONFIELD TER,LOS ANGELES,CA,91331,7,Bayview Loan Servicing/Bayview Representative,Frances Guerra,954-590-7161,Greenfield Property LLC,MCS LLC,4033   Stable Drive   Palmdale CA 93552,866-563-1100,-118.40327,34.27702,POINT (-118.40327000000002 34.27702)
2570007024,01/06/2020,Single Family,10039 N FRANCE AVE,LOS ANGELES,CA,91042,7,PennyMac Loan Services,Eric Moore,877-338-3791,Safeguard c/o Bron Inc Jefferson,Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,800-852-8306,-118.27831,34.25078,POINT (-118.27831 34.25078)
7413014022,01/09/2020,Single Family,1078 W 252ND ST,LOS ANGELES,CA,90710,15,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Guardian Asset Management,Colleen McEntee,2300  E Lincoln HWY  Langhorne PA 19047,267-825-0283,-118.29547,33.79564,POINT (-118.29547 33.79564)
2181013011,10/20/2020,Single Family,5131 N ETIWANDA AVE,LOS ANGELES,CA,91356,3,"Union Home Loan, Inc.",Dan Goldfield,818-223-0000,NULL,NULL,,NULL,-118.53109,34.16374,POINT (-118.53109000000002 34.16374)
2346003017,10/13/2020,Single Family,12734 W ALBERS ST,LOS ANGELES,CA,91607,2,Cenlar FSB,Eric Moore,877-338-3791,MCS,Code Compliance,350   HIGHLAND DR  LEWISVILLE TX 75067,813-387-1100,-118.41053,34.17021,POINT (-118.41053 34.17021)
2629016004,01/14/2020,Single Family,9100 N O'MELVENY AVE,LOS ANGELES,CA,91352,6,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Lender Processing Services,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,877-617-8274,-118.40189,34.23439,POINT (-118.40189000000001 34.23439)
2156004026,01/31/2020,Single Family,5806 N SYLVIA AVE,LOS ANGELES,CA,91356,3,Nationstar Mortgage. LLC,Ruth Wagner,888-456-0714,"Solid Foundation Properties, LLC",Ruth Wagner,3937   arlington AVE  LOS ANGELES CA 90008,844-488-7662,-118.55273,34.17606,POINT (-118.55273000000001 34.17606)
5577030002,08/28/2020,Single Family,2407 N SAN MARCO DR,LOS ANGELES,CA,90068,4,Cross Equity Investments LLC,vincent imman,818-999-9635,Cross Equity Investments LLc,Vincent imman,6705   Forbes AVE  Van Nuys CA 91406,818-730-4635,-118.33134,34.11472,POINT (-118.33134 34.11472)
5063008072,08/25/2020,Single Family,2322 S COCHRAN AVE,LOS ANGELES,CA,90016,10,Aztec Financial,Chloe Allton,818-848-8960,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.35676,34.03637,POINT (-118.35676000000001 34.03637)
2559009023,01/21/2020,Single Family,10344 N LEOLANG AVE,LOS ANGELES,CA,91040,7,Specialized Loan Servicing LLC on behalf of beneficiary,Douglas Randall,720-563-8186,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,801-461-8200,-118.30583,34.25738,POINT (-118.30583 34.25738)
5047003025,01/06/2020,Single Family,3514 S CLYDE AVE,LOS ANGELES,CA,90016,10,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.36887,34.02258,POINT (-118.36887 34.02258)
2764017039,01/21/2020,Single Family,18125 W HERBOLD ST,LOS ANGELES,CA,91325,12,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.52835,34.24515,POINT (-118.52834999999999 34.24515)
6061017029,01/06/2020,Multi-Family,601 W 105TH ST,LOS ANGELES,CA,90044,8,Rushmore Loan Managment,Dawn Talavera,888-504-6700,Safeguard Properties,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,-118.28498,33.94085,POINT (-118.28498000000002 33.94085)
6017032014,10/27/2020,Single Family,1858 W 78TH PL,LOS ANGELES,CA,90047,8,Dana Demerjian Revocable Living Trust May 20th 2019,Dana Demerjian,702-308-3508,Americana,Sherri Ricker,760  N EUCLID ST  ANAHEIM CA 92801,714-520-7979,-118.31093,33.96806,POINT (-118.31093000000001 33.96806)
2283011022,01/07/2020,Non-Residential,16027   DICKENS ST,LOS ANGELES,CA,91436,5,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,M&M Mortgage Co,Deborah Prado,12901  SW 132 AVE  Miami FL 33186,800-336-4890,-118.4816447,34.1548207,POINT (-118.4816447 34.1548207)
5050002003,01/30/2020,Multi-Family,2636 S VIRGINIA RD,LOS ANGELES,CA,90016,10,Champion Mortgage,Brenda Ward,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.33933,34.03145,POINT (-118.33933000000002 34.03145)
5683025016,01/09/2020,Vacant Residential,2456 W LOY LANE,LOS ANGELES,CA,90041,14,"PCG2 Holdings, LLC",Joseph Gigliello,949-535-1532,"Cyprexx Services, LLC",Rhianna White,422  S kings AVE  brandon fl 33511,813-490-5142,-118.22119,34.1388,POINT (-118.22118999999999 34.1388)
5562015018,01/09/2020,Vacant Residential,2026 N SUNSET PLAZA DR,HOLLYWOOD,CA,90069,4,"PCG2 Holdings, LLC",Joseph Gigliello,949-535-1532,NULL,NULL,,NULL,-118.38211,34.1055,POINT (-118.38210999999998 34.1055)
